fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,29841000000,3264000000,137000000,137000000,159000000,2676000000,26577000000,36180000000,21438000000,9939000000,847000000,9092000000,593000000,593000000,None,292000000,929000000,22829000000,3834000000,1489000000,591000000,258000000,258000000,18995000000,None,13805000000,258000000,None,-82000000,1496000000,1125000000,7010000000,11136000000,12933000000,6000000,410500000
2022-06-30,USD,30128000000,3987000000,894000000,894000000,159000000,2665000000,26141000000,35509000000,21127000000,9856000000,834000000,9022000000,607000000,607000000,None,269000000,899000000,22936000000,3722000000,1382000000,616000000,231000000,231000000,19214000000,None,14046000000,231000000,None,-85000000,1493000000,1110000000,7190000000,10619000000,12563000000,6000000,413300000
2022-03-31,USD,29219000000,3059000000,155000000,155000000,149000000,2479000000,26160000000,35216000000,20918000000,9902000000,868000000,9034000000,625000000,625000000,None,276000000,893000000,22073000000,3806000000,1384000000,600000000,435000000,435000000,18267000000,None,13052000000,435000000,None,-78000000,1387000000,1126000000,7144000000,10302000000,12247000000,6000000,415200000
2021-12-31,USD,29097000000,3069000000,118000000,118000000,135000000,2546000000,27178000000,34592000000,20537000000,9926000000,898000000,9028000000,432000000,767000000,None,270000000,903000000,21971000000,4082000000,1375000000,571000000,708000000,661000000,18348000000,291000000,13499000000,708000000,None,13499000000,1428000000,1125000000,7124000000,10072000000,12004000000,6000000,416100000
2021-09-30,USD,28841000000,3184000000,116000000,116000000,132000000,2669000000,73000000,34434000000,20351000000,9925000000,919000000,9006000000,402000000,402000000,402000000,267000000,877000000,21667000000,4102000000,1466000000,562000000,601000000,601000000,17565000000,None,12446000000,601000000,None,-81000000,1473000000,1066000000,7172000000,9697000000,11740000000,6000000,418300000
2021-06-30,USD,29037000000,3226000000,148000000,148000000,126000000,2645000000,93000000,34105000000,19995000000,9948000000,956000000,8992000000,417000000,417000000,417000000,307000000,890000000,21683000000,3683000000,1393000000,557000000,361000000,361000000,18000000000,None,12883000000,361000000,None,-82000000,1372000000,1074000000,7352000000,9272000000,11444000000,6000000,420800000
2021-03-31,USD,29070000000,3327000000,476000000,476000000,124000000,2427000000,70000000,33685000000,19647000000,9970000000,990000000,8980000000,426000000,426000000,426000000,300000000,861000000,21641000000,3285000000,1212000000,548000000,244000000,244000000,18356000000,None,13244000000,244000000,None,-83000000,1281000000,1045000000,7427000000,9035000000,11337000000,6000000,422100000
2020-12-31,USD,29345000000,3540000000,553000000,867000000,124000000,2624000000,26657000000,33099000000,19337000000,10018000000,1024000000,8994000000,740000000,426000000,314000000,239000000,866000000,21891000000,3553000000,1121000000,539000000,551000000,501000000,18791000000,314000000,13902000000,551000000,None,13902000000,1342000000,1051000000,7452000000,8881000000,11159000000,6000000,422800000
2020-09-30,USD,24772000000,3357000000,703000000,703000000,117000000,2217000000,68000000,32112000000,19266000000,6954000000,450000000,6504000000,425000000,425000000,425000000,320000000,821000000,17615000000,2806000000,884000000,496000000,167000000,167000000,14809000000,None,10255000000,167000000,None,-60000000,1259000000,1049000000,7155000000,8891000000,10952000000,6000000,422600000
2020-06-30,USD,26619000000,5106000000,2663000000,2663000000,118000000,2107000000,21513000000,12917000000,19031000000,6984000000,472000000,6512000000,439000000,439000000,None,218000000,791000000,19726000000,5772000000,904000000,494000000,3190000000,3190000000,13954000000,None,9598000000,3190000000,None,-80000000,1184000000,959000000,6891000000,8909000000,10795000000,6000000,422200000
2020-03-31,USD,27178000000,5635000000,3125000000,3125000000,116000000,2662000000,21543000000,12900000000,18763000000,6992000000,494000000,6498000000,451000000,451000000,None,226000000,814000000,20433000000,3070000000,1031000000,497000000,387000000,387000000,17363000000,None,13065000000,387000000,None,-81000000,1155000000,920000000,6743000000,8916000000,10718000000,6000000,422000000
