fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,34368614000,866168000,533824000,533824000,None,None,1293659000,23493000,None,638024000,638024000,None,30434951000,38285000,1624921000,392358000,None,13113235000,2019399000,None,None,None,386666000,10098588000,409030000,10525848000,386666000,10098588000,10525848000,800036000,472802000,17616335000,None,1530450000,1626000,161554000
2022-06-30,USD,33244053000,517662000,420258000,420258000,None,None,1350423000,24975000,None,683258000,683258000,None,29647979000,37587000,1657461000,-1504317000,None,12781917000,1681500000,None,None,None,149958000,10096462000,412535000,10271406000,149958000,10096462000,10271406000,758690000,490946000,17139335000,None,1533707000,1615000,161412000
2022-03-31,USD,32844256000,870166000,775060000,775060000,None,None,1396366000,25930000,None,729774000,729774000,None,28799566000,38456000,1661101000,-1447942000,None,12663640000,1388062000,None,None,None,None,10094337000,405818000,10303247000,None,10094337000,10303247000,653971000,482913000,16929981000,None,1261493000,1614000,158198000
2021-12-31,USD,30219373000,415227000,361348000,361348000,None,None,1188021000,26429000,None,609872000,609872000,None,26895716000,38483000,24980669000,-24725907000,None,11186123000,1733043000,None,None,None,269990000,8316678000,434745000,8791866000,269990000,8316678000,8791866000,622713000,424278000,16189542000,None,1227215000,1580000,158043880
2021-09-30,USD,28558718000,368054000,325872000,325872000,None,None,1416498000,27333000,None,632075000,632075000,None,25364962000,321737000,None,234935000,None,11586597000,2192692000,None,None,None,749978000,8314851000,371538000,9263587000,749978000,8314851000,9263587000,585560000,437705000,14723238000,None,None,1532000,150854000
2021-06-30,USD,27018850000,357573000,323876000,323876000,None,None,1383232000,29872000,None,595454000,595454000,None,23967242000,323622000,None,204300000,None,10837033000,1425978000,None,None,None,299990000,8313025000,371905000,8840999000,299990000,8313025000,8840999000,529629000,428082000,14191022000,None,None,1507000,145825000
2021-03-31,USD,25234346000,534403000,492184000,492184000,None,None,1311704000,30830000,None,550408000,550408000,None,20579346000,325928000,None,221360000,None,10452384000,1102525000,None,None,None,229406000,8311512000,345048000,8540918000,None,8311512000,8540918000,484396000,401359000,12990406000,None,None,1457000,137319000
2020-12-31,USD,22827878000,597705000,568532000,568532000,None,None,1016536000,31130000,None,286100000,286100000,None,18424721000,332349000,None,110701000,None,9384100000,1146016000,None,None,None,99991000,7232370000,633825000,7563286000,99991000,7232370000,7563286000,484253000,89399000,11725712000,None,None,1367000,136690329
2020-09-30,USD,21910671000,485043000,446255000,446255000,None,None,1160332000,32332000,None,450954000,450954000,None,17931440000,330792000,None,148305000,None,9575551000,1263358000,None,None,None,249989000,7230819000,618111000,7823171000,249989000,7230819000,7823171000,417125000,68876000,10701814000,None,None,1333000,124901000
2020-06-30,USD,20069108000,241540000,206860000,206860000,None,None,982123000,31027000,None,312885000,312885000,None,16607983000,326858000,None,61696000,None,9000132000,1322734000,None,None,None,440000000,6738486000,478039000,7523270000,440000000,6738486000,7523270000,365741000,82906000,9431440000,None,None,1246000,124333000
2020-03-31,USD,19701935000,488371000,445255000,445255000,None,None,1001423000,29826000,None,337849000,337849000,None,16157847000,325665000,None,72612000,None,8787670000,635272000,None,None,None,221000000,6736999000,490988000,7305135000,221000000,6736999000,7305135000,171278000,64959000,9322586000,None,None,1243000,121433000
2019-12-31,USD,18390503000,242689000,189681000,189681000,None,None,938496000,23031000,None,281650000,281650000,None,15190928000,346890000,None,64332000,None,8224025000,615127000,None,None,None,384000000,6044127000,466581000,6777479000,4797000,6044127000,6777479000,32133000,86078000,8865826000,None,None,1208000,120800315
2019-09-30,USD,17058154000,452970000,410675000,410675000,None,None,829640000,17511000,None,186845000,186845000,None,13958470000,340190000,None,57782000,None,8094534000,621449000,None,None,None,343000000,6042831000,419882000,6737683000,1172000,6042831000,6737683000,74539000,62921000,7790232000,None,None,1132000,112120000
2019-06-30,USD,16039470000,238225000,198909000,198909000,None,None,766634000,16725000,None,158569000,158569000,None,13206986000,334162000,None,54324000,None,7628001000,561453000,None,None,None,514000000,5140914000,397613000,6356205000,4027000,5140914000,6356205000,-101849000,71532000,7629020000,None,None,1120000,111433000
2019-03-31,USD,15480206000,315805000,261372000,261372000,None,None,482616000,15893000,None,157194000,157194000,None,12700755000,290405000,None,77445000,None,7125292000,574604000,None,None,None,4592000,5139500000,406778000,5843503000,4592000,5139500000,5843503000,407254000,51965000,7566577000,None,None,1112000,111054000
2018-12-31,USD,14464956000,272130000,234181000,234181000,None,None,421872000,14787000,None,150340000,150340000,None,12151200000,237507000,None,51639000,None,6570242000,612812000,None,None,None,208000000,4292293000,None,5478255000,4606000,4292293000,5478255000,-86609000,None,7341965000,None,None,1110000,111011816
