fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,1595056000,7529546000,5934490000,5934490000,374350000,1080316000,None,178631000,None,-19957000,-16827000,3130000,7376632000,7844000,None,142136000,589306000,142667000,1862000,451680000,175125000,374350000,734572000,446639000
2022-06-30,USD,1717294000,7771278000,6053984000,6053984000,516937000,1188819000,None,234478000,None,-18518000,-16774000,1744000,7604491000,-6909000,None,162359000,608084000,120762000,1744000,489916000,237193000,516937000,772187000,487322000
2022-03-31,USD,1580739000,7332933000,5752194000,5752194000,376952000,1065996000,None,142385000,None,-12826000,-11163000,1663000,7176545000,-14464000,None,149032000,388559000,-3738000,1663000,396271000,331516000,376952000,539254000,392297000
2021-12-31,USD,1965962000,8550217000,6584255000,6584255000,592236000,1262960000,None,306453000,None,-15436000,-12201000,3235000,8262823000,181139000,None,162144000,916219000,224227000,3235000,692874000,705509000,592236000,1081598000,691992000
2021-09-30,USD,1539380000,6798327000,5258947000,5258947000,409665000,1025681000,None,138775000,None,-11038000,-9275000,1763000,6630575000,7693000,None,122564000,569243000,133507000,1763000,436629000,346131000,409665000,693570000,435743000
2021-06-30,USD,1441854000,6458613000,5016759000,5016759000,366482000,957216000,None,127219000,None,-13772000,-12064000,1708000,6296591000,12045000,None,119085000,576082000,133445000,1708000,443442000,460608000,366482000,696875000,442637000
2021-03-31,USD,1219333000,5938879000,4719546000,4719546000,269084000,156000,None,50764000,None,-10106000,-8497000,1609000,5804128000,2732000,None,122078000,342529000,76327000,1609000,268977000,213393000,269084000,466216000,266202000
2020-12-31,USD,1539671000,6910501000,5370830000,5370830000,443896000,951106000,None,91136000,None,-15958000,62115000,78073000,6633828000,4420000,None,143825000,408819000,95054000,153665000,443896000,515438000,443896000,630717000,313765000
2020-09-30,USD,1080563000,5645142000,4564579000,4564579000,211408000,794227000,None,128250000,None,-17829000,-16279000,1550000,5487176000,7947000,None,127725000,233232000,49100000,1550000,184840000,291250000,211408000,362507000,184132000
2020-06-30,USD,981847000,5381384000,4399537000,4399537000,94165000,770806000,None,116620000,None,-17950000,-16369000,1581000,5252241000,5220000,None,116384000,100700000,18803000,1581000,82112000,94419000,94165000,218665000,81897000
2020-03-31,USD,1176494000,5889168000,4712674000,4712674000,220290000,790066000,None,146434000,None,-16016000,-14515000,1501000,5761423000,-193000,None,113794000,223377000,51182000,1501000,173530000,904000,220290000,338672000,172195000
2019-12-31,USD,1585554000,7119407000,5533853000,5533853000,513841000,956152000,None,64553000,None,-18116000,-16650000,1466000,6967185000,2744000,None,115362000,537613000,-100005000,1466000,513841000,744951000,513841000,654441000,637618000
2019-09-30,USD,1237765000,5925101000,4687336000,4687336000,316630000,809584000,None,116077000,None,-21846000,-20355000,1491000,5760025000,941000,None,111560000,320099000,63500000,1491000,258053000,187178000,316630000,433150000,256599000
2019-06-30,USD,1268283000,5714073000,4445790000,4445790000,284417000,877397000,None,877397000,None,-24600000,-41621000,-17021000,5563529000,4369000,None,106479000,286252000,62521000,-17021000,223438000,222240000,284417000,375710000,223731000
2019-03-31,USD,1113476000,5135510000,4022034000,4022034000,144987000,792876000,None,792876000,1534000,-21192000,1534000,22726000,5005079000,20853000,None,105823000,208287000,43878000,25334000,170826000,166509000,231013000,336836000,164409000
2018-12-31,USD,1007911000,6293748000,4417683000,4771599000,459347000,948171000,None,948171000,2244000,-22632000,2244000,24876000,6103578000,-2224000,None,116940000,495407000,101612000,24876000,394503000,354498000,520283000,637223000,393795000
2018-09-30,USD,1029698000,5260954000,4231256000,4098904000,189717000,859085000,None,859085000,1231000,-25420000,1231000,26651000,5092208000,95515000,None,113484000,385432000,94963000,26651000,291689000,259989000,412083000,525567000,290469000
2018-06-30,USD,1039287000,5111434000,4072147000,3958748000,225316000,826282000,None,826282000,1489000,-25396000,1489000,26885000,4950192000,4009000,None,113399000,298986000,70319000,26885000,229631000,63945000,325871000,439270000,228667000
2018-03-31,USD,945826000,4673952000,3728126000,3619961000,213609000,732235000,None,732235000,3621000,-25237000,3621000,28858000,-14674000,-4280000,None,108165000,196452000,46164000,56840000,150125000,218932000,225310000,333475000,150288000
2017-12-31,USD,954715000,5499654000,6988116000,4150803000,406187000,835151000,None,834529000,2886000,-23038000,2886000,32891000,177431000,336000,None,109100000,426203000,266979000,32891000,170686000,187186000,459094000,568194000,159224000
