fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,1233200000,6152900000,5749100000,4982300000,466400000,766800000,None,766800000,None,-62600000,None,62600000,6215500000,-4800000,None,75600000,398800000,101000000,None,298000000,249500000,466400000,537200000,297800000
2022-06-30,USD,1168200000,6088100000,5710500000,4977600000,435300000,732900000,None,732900000,None,-57700000,None,57700000,6145800000,-400000,None,71100000,377200000,97900000,None,279300000,243100000,435300000,506000000,279300000
2022-03-31,USD,1104100000,5893100000,5562200000,4845000000,386900000,717200000,None,718900000,None,-56000000,None,56000000,5949100000,-500000,None,71400000,330400000,80200000,None,250200000,241500000,386900000,457800000,250200000
2021-12-31,USD,975600000,5493500000,5346600000,4561300000,339300000,636300000,None,787600000,None,-43400000,None,43400000,5536900000,-8600000,None,51200000,287300000,72000000,None,215300000,218400000,339300000,381900000,215300000
2021-09-30,USD,914900000,5263600000,4913600000,4385100000,386400000,528500000,None,528500000,None,-36400000,None,36400000,5300000000,400000,None,48200000,350400000,84000000,None,266600000,252300000,386400000,435000000,266600000
2021-06-30,USD,882800000,5110900000,4776500000,4263600000,369900000,512900000,None,512900000,None,-35500000,None,35500000,5146400000,36800000,None,46600000,371200000,97100000,None,274200000,280000000,369900000,453300000,274100000
2021-03-31,USD,795200000,4801900000,4514100000,4042300000,323400000,471800000,None,470500000,None,-35600000,None,35600000,4837500000,1100000,None,45200000,288900000,56300000,None,232600000,239300000,323400000,369700000,232600000
2020-12-31,USD,880900000,4956200000,4836000000,4075300000,332200000,548700000,None,761200000,None,-37100000,None,37100000,4956200000,-100000,None,76600000,295000000,56700000,None,332200000,273200000,332200000,408700000,238300000
2020-09-30,USD,825500000,4716200000,4438600000,3930900000,317800000,507700000,None,507700000,None,-40200000,None,40200000,4756400000,-27500000,None,132400000,250100000,56900000,None,193200000,214100000,317800000,422700000,193200000
2020-06-30,USD,747200000,4326000000,4082300000,3618500000,283400000,463800000,None,463800000,None,-39700000,None,39700000,4365700000,1700000,None,125200000,245100000,56000000,None,189100000,196800000,283400000,410300000,189100000
2020-03-31,USD,756500000,4351300000,4143400000,3632700000,245800000,510700000,None,539900000,None,-37900000,37900000,37900000,4389200000,3900000,None,91400000,211800000,43900000,None,167900000,126400000,245800000,341100000,167900000
2019-12-31,USD,777500000,4536900000,4422200000,3759400000,283800000,493700000,None,662800000,None,-38300000,38300000,38300000,4536900000,-9500000,None,69600000,236000000,50400000,None,283800000,221900000,283800000,343900000,185600000
2019-09-30,USD,816500000,4865400000,4536100000,4091200000,320600000,495900000,None,444900000,None,-42300000,42300000,42300000,4907700000,-17400000,None,68200000,260900000,59200000,None,201700000,187000000,320600000,371400000,201700000
2019-06-30,USD,773800000,4589400000,4276500000,3856100000,300300000,473500000,None,420400000,None,-40500000,40500000,40500000,4629900000,1400000,None,65000000,261200000,64600000,None,196600000,184700000,300300000,366700000,196600000
2019-03-31,USD,672100000,3919600000,3689800000,3285800000,228900000,443200000,None,404000000,None,-38300000,38300000,38300000,3957900000,1000000,None,64300000,191600000,38700000,None,152600000,156000000,228900000,294200000,152900000
2018-12-31,USD,693800000,4074800000,4006300000,3381000000,242900000,584800000,None,625300000,None,-37100000,None,37100000,4074800000,800000,None,66900000,206600000,47300000,0,242900000,136900000,242900000,310600000,159300000
2018-09-30,USD,713600000,4336600000,4050300000,3659600000,274800000,390700000,None,390700000,None,-36600000,None,36600000,4373200000,200000,None,65800000,238400000,54700000,0,183400000,180600000,274800000,340800000,183700000
2018-06-30,USD,695600000,4148900000,3871900000,3490500000,265500000,381400000,None,381400000,None,-37200000,None,37200000,4186100000,1500000,None,66300000,229800000,56800000,0,173000000,146400000,265500000,333300000,173000000
2018-03-31,USD,603900000,3568700000,3365200000,3002500000,204100000,362700000,None,362700000,None,-37700000,None,37700000,3606400000,-700000,None,66600000,165700000,38700000,0,126700000,144400000,204100000,270000000,127000000
2017-12-31,USD,613700000,3838600000,3792400000,3138400000,221100000,347200000,None,567900000,None,-37100000,None,37100000,3752100000,-57200000,None,65700000,184000000,-10800000,0,221600000,200600000,221100000,287400000,194800000
