fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,-128000000,5251000000,106000000,4225000000,545000000,111000000,None,111000000,10000000,-171000000,161000000,171000000,119000000,4000000,None,384000000,393000000,6000000,171000000,387000000,393000000,564000000,948000000,387000000
2022-06-30,USD,-309000000,4924000000,110000000,4265000000,183000000,115000000,None,115000000,8000000,-161000000,8000000,161000000,-63000000,-20000000,None,377000000,15000000,-22000000,161000000,37000000,42000000,176000000,553000000,37000000
2022-03-31,USD,-459000000,4577000000,140000000,3538000000,558000000,123000000,None,123000000,8000000,-154000000,8000000,154000000,-170000000,-5000000,None,358000000,410000000,16000000,154000000,394000000,397000000,564000000,922000000,394000000
2021-12-31,USD,-584000000,4647000000,577000000,3759000000,415000000,102000000,None,547000000,6000000,-153000000,6000000,153000000,88000000,42000000,None,367000000,300000000,-6000000,162000000,301000000,310000000,453000000,820000000,306000000
2021-09-30,USD,-677000000,3715000000,139000000,2858000000,405000000,136000000,None,136000000,6000000,-156000000,6000000,156000000,-454000000,60000000,None,344000000,-94000000,-119000000,532000000,58000000,31000000,62000000,406000000,25000000
2021-06-30,USD,-388000000,3229000000,141000000,2368000000,242000000,138000000,None,138000000,7000000,-190000000,-24000000,166000000,-96000000,65000000,None,380000000,180000000,1000000,182000000,117000000,181000000,346000000,771000000,179000000
2021-03-31,USD,-428000000,3778000000,156000000,2752000000,433000000,122000000,None,122000000,7000000,-181000000,-26000000,155000000,-99000000,66000000,None,368000000,391000000,-6000000,181000000,320000000,400000000,546000000,974000000,397000000
2020-12-31,USD,-884000000,3288000000,647000000,2339000000,368000000,104000000,None,578000000,7000000,-188000000,-37000000,151000000,-83000000,70000000,None,384000000,293000000,18000000,188000000,210000000,276000000,444000000,896000000,275000000
2020-09-30,USD,-267000000,3284000000,108000000,2223000000,479000000,103000000,None,103000000,15000000,-178000000,-29000000,149000000,-45000000,100000000,None,356000000,497000000,21000000,178000000,372000000,479000000,646000000,1073000000,476000000
2020-06-30,USD,-239000000,2583000000,90000000,1727000000,263000000,84000000,None,73000000,6000000,-179000000,6000000,179000000,-7000000,95000000,None,350000000,283000000,6000000,179000000,277000000,281000000,462000000,812000000,277000000
2020-03-31,USD,-278000000,3022000000,163000000,2014000000,445000000,119000000,None,119000000,10000000,-175000000,10000000,175000000,52000000,19000000,None,353000000,389000000,49000000,175000000,342000000,343000000,564000000,917000000,340000000
2019-12-31,USD,-581000000,3148000000,509000000,2289000000,415000000,103000000,None,498000000,6000000,-173000000,-73000000,100000000,50000000,61000000,None,246000000,216000000,-51000000,173000000,51000000,265000000,316000000,562000000,267000000
2019-09-30,USD,-228000000,3119000000,117000000,2245000000,450000000,101000000,None,108000000,4000000,-162000000,4000000,162000000,-8000000,81000000,None,7000000,366000000,47000000,162000000,317000000,319000000,528000000,535000000,319000000
2019-06-30,USD,-208000000,2888000000,104000000,2178000000,300000000,92000000,None,94000000,3000000,-154000000,3000000,154000000,7000000,61000000,None,2000000,203000000,21000000,154000000,179000000,179000000,357000000,359000000,182000000
2019-03-31,USD,-273000000,3514000000,127000000,2558000000,542000000,118000000,None,118000000,4000000,-152000000,4000000,152000000,6000000,77000000,None,1000000,455000000,54000000,152000000,408000000,403000000,607000000,608000000,401000000
2018-12-31,USD,-567000000,3750000000,531000000,3003000000,332000000,142000000,None,521000000,3000000,-147000000,None,147000000,111000000,-5000000,None,219000000,168000000,-23000000,147000000,332000000,189000000,315000000,534000000,191000000
2018-09-30,USD,-261000000,3550000000,108000000,2739000000,429000000,99000000,None,99000000,3000000,-142000000,None,142000000,-11000000,88000000,None,7000000,368000000,34000000,142000000,335000000,337000000,510000000,517000000,334000000
2018-06-30,USD,-241000000,3159000000,106000000,2460000000,329000000,97000000,None,97000000,3000000,-135000000,None,135000000,-146000000,67000000,None,272000000,253000000,19000000,135000000,236000000,236000000,388000000,660000000,234000000
2018-03-31,USD,3361000000,3753000000,392000000,281000000,504000000,111000000,None,111000000,3000000,-135000000,None,135000000,72000000,56000000,None,281000000,429000000,68000000,135000000,351000000,363000000,564000000,845000000,361000000
2017-12-31,USD,3271000000,3271000000,744000000,274000000,372000000,145000000,None,470000000,3000000,-132000000,None,132000000,-28000000,-13000000,None,274000000,221000000,-66000000,132000000,356000000,287000000,353000000,627000000,287000000
