fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,20265405000,44788000,44788000,44788000,None,None,8643392000,7876265000,None,510816000,510816000,None,19573794000,256311000,256311000,76679000,None,8633131000,1000000000,None,None,1000000000,1000000000,7975384000,309548000,7308634000,189557000,None,8308634000,292347000,357202000,11044727000,None,1737107000,3762000,376169253
2022-06-30,USD,20574345000,45010000,45010000,45010000,None,None,8691701000,8004548000,None,517881000,517881000,None,19729925000,169272000,169272000,-95631000,None,9071476000,1000000000,None,None,1000000000,1000000000,8455424000,310513000,7783097000,184946000,None,8783097000,311704000,361814000,10890089000,None,1649960000,3761000,376118433
2022-03-31,USD,20830237000,41140000,41140000,41140000,None,None,8760294000,8089097000,None,521105000,521105000,None,20008917000,150092000,150092000,-79532000,None,9299744000,1000000000,None,None,1000000000,1000000000,8712618000,311293000,8030156000,129995000,None,9030156000,299450000,371169000,10813867000,None,1661705000,3760000,375974070
2021-12-31,USD,21169241000,123832000,123832000,123832000,None,None,9155478000,8034993000,None,518324000,518324000,None,20046072000,127448000,127448000,108956000,None,9483056000,315100000,None,None,315100000,315100000,9256978000,312335000,8421172000,315030000,None,8736272000,303012000,419243000,10954948000,None,1827063000,3755000,375527195
2021-09-30,USD,20663015000,39707000,39707000,39707000,None,None,8487797000,7905127000,None,503241000,503241000,None,19684298000,79429000,None,187042000,None,9329432000,1000000000,None,None,1000000000,1000000000,9302760000,313361000,8114648000,30000000,None,9114648000,290083000,414818000,10662557000,None,1527115000,3750000,375002588
2021-06-30,USD,20464346000,39492000,39492000,39492000,None,None,8358079000,7812112000,None,492603000,492603000,None,19294455000,53364000,None,353009000,None,9382176000,1000000000,None,None,1000000000,1000000000,8777469000,314379000,7618922000,631770000,None,8618922000,298772000,404045000,10433991000,None,1321875000,3744000,374354830
2021-03-31,USD,20169015000,35453000,35453000,35453000,None,None,8313997000,7774586000,None,486137000,486137000,None,19295459000,53274000,None,62383000,None,9207251000,1000000000,None,None,1000000000,1000000000,8730767000,316838000,7607803000,429753000,None,8607803000,288226000,396603000,10314800000,None,1231808000,3729000,372917413
2020-12-31,USD,20286891000,42591000,42591000,42591000,None,None,8793606000,7755400000,None,486137000,486137000,None,19396450000,52782000,None,57137000,None,9184454000,415000000,None,None,415000000,415000000,8703051000,329130000,8126903000,414830000,None,8541903000,298158000,1089024000,10525651000,None,1399715000,3723000,372302000
2020-09-30,USD,20623978000,178333000,178333000,178333000,None,None,8299792000,7756994000,None,487970000,487970000,None,19629099000,54828000,None,56881000,None,9575906000,1000000000,None,None,1000000000,1000000000,9413095000,329684000,8396730000,None,None,9396730000,297906000,661206000,10517480000,None,1371938000,3722000,372239249
2020-06-30,USD,20714951000,187416000,187416000,187416000,None,None,8267643000,7725346000,None,486987000,486987000,None,19681993000,55310000,None,58117000,None,9540780000,1000000000,None,None,1000000000,1000000000,9467902000,330135000,8421859000,None,None,9421859000,299797000,645343000,10597673000,None,1505694000,3722000,372209012
2020-03-31,USD,20919318000,82335000,82335000,82335000,None,None,8376936000,7824418000,None,496652000,496652000,None,20044540000,55866000,None,58435000,None,9795290000,1000000000,None,None,1000000000,1000000000,9072174000,330713000,8020053000,612651000,None,9020053000,298111000,1242356000,10530367000,None,1469821000,3721000,372104054
