fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,381800000,824000000,442200000,442200000,202200000,161900000,None,144100000,None,-9600000,9600000,9600000,858800000,1000000,None,17000000,228400000,49700000,9600000,178700000,84400000,238000000,255000000,178700000
2022-06-30,USD,356900000,796100000,439200000,439200000,186600000,167500000,None,184400000,None,-9500000,9500000,9500000,796100000,0,None,16900000,177200000,39000000,9500000,138100000,56900000,186700000,203600000,138200000
2022-03-31,USD,342500000,751100000,408600000,408600000,187600000,154300000,None,167500000,None,-9500000,9500000,9500000,753800000,2300000,None,15300000,180500000,40500000,9500000,139900000,121000000,190000000,205300000,140000000
2021-12-31,USD,314236000,714798000,400562000,400562000,162012000,151492000,None,208351000,None,-9521000,79000,9521000,713698000,757000,None,15700000,153255000,34500000,9521000,118748000,106111000,162776000,178476000,118755000
2021-09-30,USD,311600000,712000000,400450000,400400000,161200000,147200000,None,163380000,None,-9498000,2000,9500000,712019000,-600000,None,16200000,151042000,35400000,9498000,115757000,87800000,160540000,176740000,115700000
2021-06-30,USD,306100000,686000000,379900000,379900000,158300000,144600000,None,158280000,None,-11205000,-5000,11200000,685947000,-17200000,None,13500000,129900000,27700000,11205000,102176000,133500000,141100000,154600000,102200000
2021-03-31,USD,292600000,652000000,359400000,359400000,155500000,134900000,None,148202000,None,-10776000,-76000,10700000,652036000,800000,None,10990000,145600000,32900000,10776000,112719000,65700000,156300000,167290000,112700000
2020-12-31,USD,269168000,614822000,345654000,345632000,138965000,125150000,None,193487000,None,-10788000,54000,10842000,611822000,1721000,None,10721000,129768000,28700000,10788000,138965000,168794000,140610000,151331000,101068000
2020-09-30,USD,251500000,581113000,329613000,329613000,131213000,117370000,None,131387000,None,-10642000,10642000,10642000,581113000,704000,None,11100000,121248000,17400000,10642000,103875000,152154000,131890000,142990000,103848000
2020-06-30,USD,234800000,561249000,326449000,326449000,110594000,120365000,None,134706000,None,-12439000,12439000,12439000,561249000,-6460000,None,10500000,91664000,20800000,12439000,70864000,91620000,104103000,114603000,70864000
2020-03-31,USD,271956000,594462000,322506000,322506000,139941000,132015000,None,141515000,None,-10877000,10877000,10877000,594462000,-1565000,None,9500000,127498000,25500000,10877000,101998000,79032000,138375000,147875000,101998000
2019-12-31,USD,266885000,605997000,339112000,339173000,134173000,125763000,None,210509000,None,-11079000,-41000,11038000,602697000,-1099000,None,9586000,122050000,25200000,11079000,134173000,129365000,133088000,142674000,96850000
2019-09-30,USD,281978000,624246000,342268000,342268000,141765000,128257000,None,147657000,None,-11330000,11330000,11330000,624246000,-1219000,None,9700000,129194000,24000000,11330000,105194000,70242000,140524000,150224000,105194000
2019-06-30,USD,292337000,642099000,349762000,349762000,155283000,134928000,None,146054000,None,-11011000,11011000,11011000,642099000,378000,None,9000000,144650000,31441000,11011000,113209000,118317000,155661000,164661000,113209000
2019-03-31,USD,283834000,622231000,338397000,338397000,147782000,136052000,None,145052000,None,-10921000,None,10921000,622231000,140000,None,9000000,137001000,26733000,10921000,110268000,109476000,147922000,156922000,110268000
2018-12-31,USD,273643000,614094000,340451000,340451000,139441000,130370000,48000000,194751000,None,-11036000,None,11036000,616494000,420000,None,9549000,128825000,30688000,11036000,139441000,83014000,139861000,149410000,98137000
2018-09-30,USD,280233000,622888000,342655000,342655000,145133000,130479000,None,143900000,None,-10958000,None,10958000,622888000,-934000,None,8800000,133241000,26889000,10958000,106352000,118030000,144199000,152999000,106352000
2018-06-30,USD,287367000,634360000,346993000,346993000,147831000,137548000,None,149336000,None,-11140000,None,11140000,634360000,50000,None,9800000,136741000,29615000,11140000,107126000,47036000,147881000,157681000,107126000
2018-03-31,USD,276652000,612324000,335672000,335672000,136683000,138327000,None,150840000,None,-11000000,None,11000000,612324000,4449000,None,10871000,130132000,31174000,11000000,98958000,129210000,141132000,152003000,98958000
2017-12-31,USD,260882000,585904000,325022000,325022000,135248000,131249000,76400000,3700000,None,-10969000,None,10969000,-11200000,-677000,None,2933000,123602000,29856000,10969000,135248000,101701000,134571000,137504000,93746000
