fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,1084000000,2272000000,1188000000,1282000000,173000000,None,None,52000000,17000000,-163000000,255000000,163000000,2874000000,43000000,None,10000000,55000000,-59000000,163000000,114000000,76000000,218000000,228000000,114000000
2022-06-30,USD,1136000000,2076000000,940000000,1034000000,296000000,None,None,-5000000,16000000,-150000000,19000000,150000000,2348000000,38000000,None,12000000,98000000,-33000000,150000000,131000000,86000000,248000000,260000000,131000000
2022-03-31,USD,808000000,2313000000,1505000000,1528000000,-52000000,None,None,114000000,14000000,-137000000,17000000,137000000,3280000000,5000000,None,28000000,-154000000,-152000000,137000000,-2000000,-62000000,-17000000,11000000,-2000000
2021-12-31,USD,-944000000,3056000000,4000000000,1274000000,902000000,None,None,2821000000,14000000,-134000000,43000000,134000000,3107000000,5000000,None,22000000,631000000,186000000,432000000,445000000,619000000,765000000,787000000,445000000
2021-09-30,USD,842000000,1903000000,1061000000,1143000000,-2205000000,None,None,2158000000,18000000,-144000000,21000000,144000000,2759000000,35000000,None,34000000,-2246000000,-682000000,144000000,-1564000000,-1566000000,-2102000000,-2068000000,-1564000000
2021-06-30,USD,1350000000,1874000000,524000000,606000000,-294000000,None,None,457000000,14000000,-147000000,60000000,147000000,2164000000,33000000,None,39000000,-239000000,-62000000,147000000,-177000000,-157000000,-92000000,-53000000,-177000000
2021-03-31,USD,1899000000,2889000000,990000000,1029000000,741000000,None,None,43000000,13000000,-146000000,16000000,146000000,2854000000,25000000,None,43000000,765000000,117000000,146000000,648000000,610000000,911000000,954000000,648000000
2020-12-31,USD,1546000000,2402000000,856000000,780000000,433000000,3115000000,None,7340000000,13000000,-147000000,40000000,147000000,2347000000,34000000,None,36000000,553000000,122000000,147000000,431000000,379000000,700000000,736000000,431000000
2020-09-30,USD,1657000000,2370000000,713000000,775000000,633000000,None,None,-122000000,12000000,-149000000,23000000,149000000,2415000000,39000000,None,50000000,696000000,121000000,149000000,575000000,578000000,845000000,895000000,575000000
2020-06-30,USD,1517000000,2050000000,533000000,595000000,407000000,None,None,0,14000000,-151000000,18000000,151000000,2025000000,38000000,None,32000000,560000000,109000000,151000000,451000000,477000000,711000000,743000000,451000000
2020-03-31,USD,1904000000,2781000000,877000000,906000000,797000000,None,None,33000000,13000000,-153000000,354000000,153000000,2449000000,4000000,None,33000000,492000000,44000000,153000000,448000000,456000000,645000000,678000000,448000000
2019-12-31,USD,2478000000,2478000000,836000000,791000000,507000000,860000000,None,1971000000,13000000,-152000000,35000000,152000000,2663000000,24000000,None,28000000,535000000,98000000,152000000,507000000,507000000,687000000,715000000,437000000
2019-09-30,USD,1604000000,2302000000,698000000,753000000,490000000,745000000,None,1812000000,14000000,-147000000,129000000,147000000,2308000000,35000000,None,34000000,433000000,30000000,147000000,403000000,397000000,580000000,614000000,403000000
2019-06-30,USD,1645000000,2316000000,671000000,704000000,160000000,750000000,None,2156000000,16000000,-137000000,20000000,137000000,1992000000,33000000,None,22000000,133000000,-20000000,137000000,153000000,162000000,270000000,292000000,153000000
2019-03-31,USD,1832000000,2980000000,1148000000,1124000000,786000000,756000000,None,2194000000,14000000,-133000000,15000000,133000000,2795000000,33000000,None,24000000,849000000,149000000,133000000,700000000,717000000,982000000,1006000000,700000000
2018-12-31,USD,2468000000,2468000000,924000000,869000000,501000000,794000000,None,1967000000,12000000,-135000000,None,135000000,2211000000,-14000000,None,23000000,200000000,1000000,135000000,501000000,501000000,335000000,358000000,199000000
2018-09-30,USD,1590000000,2394000000,804000000,804000000,554000000,742000000,None,1840000000,13000000,-127000000,None,127000000,2383000000,33000000,None,28000000,529000000,117000000,127000000,412000000,415000000,656000000,684000000,412000000
2018-06-30,USD,1136000000,2016000000,880000000,600000000,411000000,725000000,None,1605000000,15000000,-111000000,None,111000000,1962000000,34000000,None,22000000,366000000,97000000,111000000,269000000,270000000,477000000,499000000,269000000
2018-03-31,USD,1562000000,2818000000,1256000000,952000000,832000000,754000000,None,1986000000,12000000,-103000000,None,103000000,2644000000,32000000,None,24000000,760000000,202000000,103000000,558000000,552000000,863000000,887000000,558000000
2017-12-31,USD,2096000000,2107000000,952000000,706000000,363000000,-36000000,None,1744000000,-5000000,-102000000,None,102000000,-6223000000,-16000000,None,24000000,310000000,-646000000,102000000,362000000,362000000,412000000,436000000,956000000
