fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,77339000000,23270000000,3744000000,3744000000,4294000000,13652000000,19107000000,34962000000,None,2331000000,845000000,1486000000,None,14772000000,None,1580000000,2004000000,44030000000,17882000000,11449000000,237000000,1032000000,1032000000,23985000000,None,16625000000,1032000000,None,17640000000,1983000000,1883000000,28233000000,14526000000,24008000000,7000000,481388000
2022-06-30,USD,62812000000,22492000000,2809000000,2809000000,4580000000,13393000000,18091000000,22229000000,None,2298000000,812000000,1486000000,None,14176000000,None,1710000000,1617000000,38239000000,17608000000,12513000000,None,526000000,526000000,18858000000,None,12443000000,526000000,None,12801000000,1213000000,1679000000,24276000000,13802000000,19087000000,7000000,483088000
2022-03-31,USD,60638000000,19854000000,3335000000,3335000000,4530000000,10455000000,18451000000,22333000000,None,2303000000,819000000,1484000000,None,14465000000,None,1534000000,1683000000,38517000000,17603000000,12047000000,None,1474000000,1474000000,19273000000,None,12960000000,1474000000,None,14434000000,1207000000,1765000000,21815000000,13736000000,16391000000,7000000,449298000
2021-12-31,USD,55594000000,14697000000,3147000000,3147000000,3394000000,7870000000,19771000000,22176000000,None,2297000000,813000000,1484000000,13512000000,12832000000,None,686000000,1694000000,33957000000,12801000000,7629000000,90000000,1489000000,1456000000,20214000000,257000000,12795000000,1456000000,None,14251000000,959000000,1782000000,19166000000,17116000000,16216000000,7000000,440472000
2021-09-30,USD,56407000000,16019000000,2897000000,2897000000,4400000000,8006000000,18011000000,22377000000,None,2247000000,822000000,1425000000,None,14059000000,14059000000,716000000,1705000000,35810000000,13921000000,8203000000,None,1489000000,1489000000,19978000000,None,1000000000,1489000000,None,1000000000,1466000000,1231000000,18139000000,17116000000,15350000000,6000000,440193000
2021-06-30,USD,56977000000,15780000000,2207000000,2207000000,4752000000,8719000000,17509000000,23688000000,None,2250000000,825000000,1425000000,None,13520000000,13520000000,759000000,1739000000,36375000000,14551000000,8066000000,None,2489000000,2489000000,19951000000,None,12924000000,2489000000,None,15413000000,1343000000,1179000000,18149000000,17116000000,15345000000,6000000,439940000
2021-03-31,USD,55496000000,14418000000,1351000000,1351000000,4273000000,8165000000,17401000000,23677000000,None,2261000000,836000000,1425000000,None,13376000000,13376000000,629000000,1764000000,35039000000,11431000000,7484000000,None,516000000,516000000,21804000000,None,14906000000,516000000,None,15422000000,1204000000,2033000000,17979000000,17116000000,15449000000,6000000,439504000
2020-12-31,USD,54721000000,13276000000,2514000000,2514000000,3893000000,8022000000,19204000000,23452000000,None,2268000000,843000000,1425000000,13182000000,13037000000,13624000000,347000000,1837000000,33198000000,9518000000,5171000000,None,987000000,971000000,22744000000,248000000,14745000000,971000000,None,15716000000,1058000000,1998000000,18984000000,17116000000,16500000000,6000000,439110000
2020-09-30,USD,54281000000,12822000000,1462000000,1462000000,4897000000,5963000000,17970000000,23489000000,None,2274000000,849000000,1425000000,None,13767000000,13767000000,500000000,1929000000,31976000000,10513000000,4905000000,None,1860000000,1860000000,19567000000,None,12666000000,1860000000,None,14526000000,1524000000,2038000000,19722000000,17116000000,17436000000,6000000,438916000
2020-06-30,USD,54518000000,12499000000,1890000000,1890000000,5136000000,4852000000,17737000000,24282000000,None,2299000000,874000000,1425000000,None,13628000000,None,621000000,1810000000,31223000000,10023000000,4902000000,0,1783000000,1783000000,19494000000,None,12663000000,1783000000,None,14446000000,1431000000,1985000000,20715000000,17116000000,18631000000,6000000,438756000
