fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,538927000,1158057000,619130000,619130000,261562000,97752000,168164000,277365000,None,-16904000,None,16904000,None,2214000,51864000,84700000,246872000,58257000,None,188615000,164813000,263776000,348476000,188615000
2022-06-30,USD,375250000,1035358000,660108000,660108000,101859000,101815000,168568000,273391000,None,-17252000,None,17252000,None,-5062000,52018000,85721000,79584000,10700000,None,68884000,45678000,96836000,182518000,68884000
2022-03-31,USD,570339000,1166158000,595819000,595819000,270597000,83927000,158745000,299742000,None,-17392000,None,17392000,None,-5736000,51911000,89854000,247469000,35194000,None,212275000,202894000,264861000,354715000,212275000
2021-12-31,USD,548093000,1113957000,565864000,565864000,296010000,82003000,154435000,252083000,None,-15328000,None,15328000,None,2532000,53833000,92334000,283214000,66951000,None,216263000,207445000,298542000,390876000,216263000
2021-09-30,USD,621553000,1255248000,633695000,633695000,362360000,93489000,158377000,259193000,None,-15327000,None,15327000,None,4754000,52758000,36637000,351789000,32600000,15327000,336014000,309702000,367116000,403753000,319189000
2021-06-30,USD,546183000,1110351000,564168000,564168000,297102000,90299000,152079000,249081000,None,-15279000,None,15279000,None,16791000,52447000,37385000,298626000,13000000,15279000,315393000,288895000,313905000,351290000,285626000
2021-03-31,USD,528475000,1072730000,544255000,544255000,293068000,78123000,147285000,235407000,None,-15410000,None,15410000,-123982000,9128000,50869000,35117000,286786000,-11951000,139392000,221549000,280897000,302196000,337313000,298737000
2020-12-31,USD,537752000,1094834000,557082000,557082000,299203000,93139000,136697000,238549000,None,-17453000,467000,17453000,None,-58234000,51538000,73300000,223516000,22481000,17453000,220288000,221908000,240969000,314269000,201035000
2020-09-30,USD,491550000,1060292000,568742000,568742000,221644000,109372000,156342000,269906000,None,-23486000,1272000,23486000,None,1920000,50812000,72400000,200078000,63161000,23486000,160503000,155139000,223564000,295964000,136917000
2020-06-30,USD,325789000,787451000,461662000,461662000,92712000,86604000,130071000,233077000,None,-18849000,1190000,18849000,None,23137000,49987000,72128000,97022000,100000,18849000,114581000,103028000,115871000,187999000,96922000
2020-03-31,USD,335781000,787772000,451991000,451991000,102154000,85111000,127029000,233627000,3954000,-18935000,3954000,18935000,1300000,-10472000,49318000,69369000,64635000,14245000,18935000,307681000,59521000,83570000,152939000,50390000
2019-12-31,USD,368111000,869073000,500962000,500962000,153069000,81205000,122851000,215042000,2874000,-16900000,2874000,16900000,0,44148000,53692000,63100000,183191000,21835000,16900000,178256000,162171000,200091000,263191000,161356000
2019-09-30,USD,323582000,806698000,483116000,483116000,112767000,88274000,115614000,210815000,2292000,-12693000,2292000,12693000,0,-300000,54718000,56400000,102066000,19028000,12693000,95759000,82061000,114759000,171159000,83038000
2019-06-30,USD,294289000,775598000,481309000,481309000,55226000,88979000,118920000,239063000,2946000,-11864000,2946000,11864000,0,-1111000,63904000,58366000,45197000,5656000,11864000,51405000,39484000,57061000,115427000,39541000
2019-03-31,USD,266573000,680882000,414309000,414309000,64047000,75033000,112846000,202526000,3183000,-10359000,3183000,10359000,-6200000,4296000,65638000,55300000,50217000,-11300000,6200000,249973000,60963000,60576000,115876000,61517000
2018-12-31,USD,338363000,832330000,493967000,493967000,81157000,125604000,109985000,257206000,2814000,-9562000,None,9562000,-1800000,-3520000,52794000,132500000,70889000,1372000,11362000,69517000,68455000,80451000,212951000,69517000
2018-09-30,USD,353514000,884443000,530929000,530929000,90477000,139507000,116748000,263037000,1580000,-9689000,None,9689000,-48800000,-49532000,46763000,133400000,32836000,752000,58489000,32084000,32012000,42525000,175925000,32084000
2018-06-30,USD,236733000,692670000,455937000,455937000,-19215000,135930000,110903000,255948000,3394000,-14353000,None,14353000,-30754000,-31955000,43451000,133300000,-62093000,-32100000,47753000,-29993000,-32177000,-47740000,85560000,-29993000
2018-03-31,USD,252640000,665383000,412743000,412743000,-31773000,122898000,110795000,284413000,2978000,-16161000,None,16161000,-900000,1277000,41546000,133400000,-43701000,-31200000,900000,241140000,-12171000,-27540000,105860000,-12501000
2017-12-31,USD,336927000,845739000,508812000,508812000,80320000,126555000,106411000,256607000,2215000,-16338000,None,16338000,-1691000,-757000,46612000,135900000,65418000,98500000,16338000,-33082000,-32185000,81756000,217656000,-33082000
