fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,787609000,1835801000,1579507000,1045846000,223695000,548579000,None,548996000,None,2346000,2346000,2346000,1833455000,None,11862000,417000,225624000,59418000,None,166206000,142054000,223695000,224112000,166206000
2022-06-30,USD,815547000,1863545000,1491468000,1047280000,240531000,509394000,None,509810000,None,718000,718000,718000,1862827000,None,11827000,416000,240833000,65012000,None,175821000,151788000,240531000,240947000,175821000
2022-03-31,USD,771846000,1815000000,1527598000,1042988000,227651000,514194000,None,516676000,None,166000,166000,166000,1814834000,None,11080000,417000,227400000,59161000,None,168239000,167287000,227651000,228068000,168239000
2021-12-31,USD,744119000,1769969000,61078000,1025798000,222607000,544551000,None,547270000,None,52000,52000,23040000,1769917000,None,11674000,517000,222142000,54198000,None,-122156000,164422000,222607000,223124000,167944000
2021-09-30,USD,725327000,1712804000,1481628000,987239000,227992000,495576000,None,496148000,None,238000,238000,1759000,1712566000,None,12821000,572000,227658000,56787000,None,170871000,160863000,227992000,228564000,170871000
2021-06-30,USD,664872000,1580430000,1432188000,915709000,204589000,488093000,None,488669000,None,-151000,151000,27810000,1580581000,None,13753000,576000,203862000,54649000,None,149213000,153650000,204589000,205165000,149213000
2021-03-31,USD,561711000,1398425000,1272295000,836669000,150637000,423062000,None,426795000,None,45000,45000,45000,1398380000,None,13962000,576000,150106000,39508000,None,110598000,101801000,150637000,151213000,110598000
2020-12-31,USD,514342000,1304086000,81500000,789759000,129723000,425162000,None,81500000,None,79000,79000,79000,1304086000,None,15184000,217000,129585000,35169000,None,129585000,105680000,129723000,129940000,94416000
2020-09-30,USD,467346000,1190099000,1139779000,722551000,102642000,390799000,None,391133000,None,202000,202000,202000,1189897000,None,15588000,334000,102510000,26761000,None,75749000,86905000,102642000,102976000,75749000
2020-06-30,USD,416535000,1108431000,1050407000,691791000,58249000,407213000,None,365158000,None,105000,105000,105000,1108326000,None,15596000,330000,58024000,11828000,None,46196000,52730000,58249000,58579000,46196000
2020-03-31,USD,614388000,1507648000,1375885000,892303000,131144000,442868000,None,484601000,None,957000,957000,40376000,1506691000,None,15913000,338000,131763000,41848000,None,89915000,76215000,131144000,131482000,89915000
2019-12-31,USD,636861000,1537385000,1384495000,900524000,153229000,503921000,None,489421000,None,1357000,1357000,1357000,1537385000,None,15779000,339000,154247000,41405000,None,154247000,118727000,153229000,153568000,112842000
2019-09-30,USD,646278000,1553362000,1389580000,905854000,162891000,484837000,None,483894000,None,1230000,1230000,1230000,1552132000,None,16745000,339000,163782000,46601000,None,117181000,107170000,162891000,163230000,117181000
2019-06-30,USD,636589000,1517427000,1357324000,878844000,159402000,478139000,None,478480000,None,1042000,1042000,1042000,1516385000,None,16088000,341000,160103000,45491000,None,114612000,116758000,159402000,159743000,114612000
2019-03-31,USD,605401000,1470026000,1322643000,860942000,146229000,461359000,None,464026000,None,1496000,1496000,1496000,1468530000,None,15652000,342000,147383000,37585000,None,109798000,107901000,146229000,146571000,109798000
2018-12-31,USD,620062000,1481658000,1328120000,860598000,153909000,455665000,None,470228000,None,1445000,None,1445000,1481658000,None,15900000,371000,154983000,41419000,None,154983000,107247000,153909000,154280000,113564000
2018-09-30,USD,610468000,1467422000,1315517000,855758000,151138000,459330000,None,459759000,None,1196000,None,1196000,1466226000,None,15941000,429000,151905000,36663000,None,115242000,111859000,151138000,151567000,115242000
2018-06-30,USD,607118000,1458060000,1307985000,849936000,149511000,457607000,None,458049000,None,1006000,None,1006000,1457054000,None,16150000,442000,150075000,40760000,None,109315000,93891000,149511000,149953000,109315000
2018-03-31,USD,572366000,2791401000,1261429000,822967000,134367000,437999000,None,440240000,None,735000,None,735000,1395333000,None,16253000,463000,134639000,38472000,None,96167000,101675000,134367000,134830000,96167000
2017-12-31,USD,553146000,1346282000,1217935000,793136000,128763000,424383000,None,427494000,None,691000,None,691000,1346282000,None,16014000,416000,129038000,81991000,None,129038000,48850000,128763000,129179000,47047000
