fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,426463000000,32295000000,2423000000,2423000000,3935000000,11384000000,267193000000,148827000000,None,221943000000,129218000000,92725000000,5106000000,3964000000,None,14553000000,19434000000,312399000000,52257000000,None,3938000000,9626000000,2161000000,234228000000,1476000000,131319000000,9897000000,None,133480000000,3705000000,29426000000,122406000000,17148000000,6127000000,7621000000,7153000000
2022-06-30,USD,426433000000,34485000000,4018000000,4018000000,3241000000,11377000000,266911000000,146943000000,None,221674000000,128928000000,92746000000,5721000000,4523000000,None,15849000000,18808000000,316944000000,49189000000,None,3829000000,6210000000,2860000000,241937000000,1542000000,133097000000,6829000000,None,135957000000,3603000000,28365000000,117746000000,17160000000,2128000000,7621000000,7169000000
2022-03-31,USD,577195000000,76856000000,38565000000,38565000000,3153000000,17218000000,320191000000,19803000000,None,258806000000,125559000000,133247000000,7228000000,5943000000,None,17920000000,22291000000,420433000000,82494000000,None,5586000000,27333000000,8069000000,308145000000,1509000000,180225000000,28380000000,None,8069000000,5183000000,29746000000,169036000000,16553000000,45041000000,7621000000,7184000000
2021-12-31,USD,551622000000,170768000000,19223000000,21169000000,3464000000,17571000000,377469000000,150084000000,None,323073000000,189850000000,92740000000,8658000000,7274000000,1946000000,17793000000,19252000000,412340000000,106230000000,30756000000,5644000000,24620000000,16676000000,282179000000,1442000000,169147000000,7817000000,None,185823000000,3966000000,25243000000,166332000000,17280000000,42350000000,7621000000,7171000000
2021-09-30,USD,547107000000,57230000000,18485000000,21270000000,3088000000,16304000000,313275000000,148760000000,None,258424000000,124761000000,133663000000,10055000000,8629000000,2785000000,16568000000,21748000000,395980000000,81601000000,None,5385000000,23755000000,6576000000,284203000000,1574000000,179161000000,24935000000,None,185737000000,4991000000,29466000000,163771000000,17319000000,41091000000,7621000000,7171000000
2021-06-30,USD,544710000000,62869000000,11869000000,11869000000,2810000000,15771000000,306929000000,147981000000,None,235324000000,100698000000,134626000000,3273000000,1853000000,None,32419000000,21598000000,395084000000,82126000000,None,6431000000,24016000000,6571000000,282738000000,1606000000,179783000000,24016000000,None,186354000000,4932000000,28726000000,162296000000,17332000000,38947000000,7621000000,7168000000
2021-03-31,USD,546985000000,62754000000,11342000000,11342000000,3347000000,16971000000,307705000000,149022000000,None,236499000000,101331000000,135168000000,3209000000,1805000000,1805000000,31094000000,21496000000,372499000000,76608000000,None,10356000000,19505000000,7078000000,265532000000,1747000000,180199000000,3564000000,None,187277000000,5029000000,28229000000,165488000000,17342000000,41154000000,7621000000,7161000000
2020-12-31,USD,525761000000,52008000000,9740000000,9740000000,3592000000,20215000000,373263000000,152029000000,None,322833000000,187574000000,135259000000,3259000000,1780000000,None,18358000000,23617000000,370100000000,63438000000,31836000000,12950000000,3470000000,0,260881000000,1847000000,155209000000,3281000000,None,155209000000,6176000000,28358000000,161673000000,17910000000,37457000000,7621000000,7148000000
2020-09-30,USD,538553000000,49971000000,9758000000,9758000000,13948000000,19379000000,308177000000,13948000000,None,259608000000,115920000000,143688000000,3849000000,2325000000,2325000000,19414000000,21609000000,352842000000,59565000000,None,12379000000,5898000000,1754000000,261876000000,1732000000,158878000000,3483000000,None,160632000000,5862000000,30520000000,175553000000,17950000000,55094000000,7621000000,7147000000
2020-06-30,USD,547898000000,56555000000,16941000000,16941000000,None,19127000000,438455000000,128945000000,203938000000,260866000000,117215000000,143651000000,3824000000,2302000000,None,19048000000,21563000000,363642000000,69469000000,None,12149000000,15576000000,3001000000,262746000000,1683000000,168964000000,15576000000,None,171965000000,5723000000,32804000000,175896000000,17945000000,56045000000,7621000000,7145000000
2020-03-31,USD,545354000000,52704000000,9955000000,9955000000,None,19908000000,441272000000,128921000000,200266000000,261831000000,116285000000,145546000000,5120000000,3606000000,None,21241000000,22829000000,359308000000,69704000000,None,12526000000,17067000000,3144000000,258617000000,1581000000,147202000000,17067000000,None,3144000000,5960000000,34600000000,177779000000,17957000000,58534000000,7621000000,7187000000
2019-12-31,USD,551669000000,54761000000,12130000000,12130000000,2864000000,22636000000,533792000000,130128000000,203410000000,350390000000,204149000000,146241000000,5139000000,3695000000,54000000,18364000000,22754000000,368233000000,68911000000,29640000000,12938000000,11838000000,4000000,258852000000,1872000000,161109000000,11672000000,None,161113000000,6124000000,29421000000,184221000000,13085000000,57936000000,7621000000,7313000000
2019-09-30,USD,548796000000,50695000000,6588000000,6588000000,None,22921000000,446605000000,131316000000,205924000000,264192000000,118086000000,146106000000,5517000000,4137000000,102000000,19693000000,22304000000,306233000000,68126000000,None,12796000000,11608000000,2443000000,206269000000,1823000000,153568000000,11608000000,None,2443000000,6097000000,29848000000,183049000000,11195000000,59347000000,7621000000,7327000000
2019-06-30,USD,546914000000,47218000000,8423000000,8423000000,None,22381000000,426227000000,132074000000,202842000000,267071000000,120409000000,146662000000,5164000000,4133000000,26000000,14973000000,22733000000,344652000000,66376000000,None,None,12772000000,3168000000,265889000000,20568000000,157790000000,9604000000,None,3168000000,5734000000,28176000000,184257000000,11151000000,59389000000,7621000000,7323000000
2019-03-31,USD,548384000000,46472000000,6516000000,6516000000,None,23863000000,430660000000,132051000000,200466000000,268167000000,121733000000,146434000000,7219000000,6230000000,46000000,14575000000,24118000000,348035000000,64652000000,None,None,11538000000,2957000000,270528000000,1852000000,163942000000,8446000000,None,2957000000,5956000000,27715000000,185112000000,11452000000,59424000000,7621000000,7313000000
2018-12-31,USD,531864000000,51427000000,5204000000,5204000000,2771000000,26472000000,468303000000,131473000000,199217000000,305064000000,158694000000,146370000000,7115000000,6245000000,8000000,17704000000,24809000000,416994000000,64420000000,27018000000,12608000000,10255000000,3065000000,273560000000,None,172040000000,7190000000,None,175092000000,5948000000,30233000000,184089000000,12059000000,58753000000,7621000000,7303000000
2018-09-30,USD,534870000000,53107000000,8657000000,8657000000,2310000000,26312000000,433266000000,130348000000,197332000000,271225000000,124750000000,146475000000,7009000000,6128000000,44000000,16278000000,25490000000,356819000000,65420000000,None,None,14905000000,3790000000,284479000000,None,170217000000,11115000000,None,3790000000,5095000000,26490000000,183848000000,12486000000,57624000000,7621000000,7284000000
2018-06-30,USD,534691000000,55286000000,13523000000,13523000000,2313000000,25492000000,431931000000,129556000000,195333000000,270209000000,127602000000,142607000000,8007000000,8007000000,34000000,14305000000,23941000000,350561000000,68593000000,None,None,21672000000,8154000000,281968000000,None,170090000000,13518000000,None,8154000000,5519000000,25017000000,182980000000,12872000000,56555000000,7621000000,6351000000
2018-03-31,USD,446343000000,78505000000,48872000000,48872000000,None,16290000000,358305000000,125124000000,192003000000,209239000000,103757000000,105482000000,2623000000,2623000000,26000000,12008000000,20974000000,299267000000,70580000000,None,None,29322000000,2000000,228687000000,None,133724000000,29320000000,None,2000000,4608000000,19117000000,145920000000,12432000000,55067000000,6495000000,6161000000
