fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-10-29,USD,1358784000,12166286000,10807502000,8622556000,-826162000,2184946000,None,2184946000,None,None,None,None,12166286000,None,217000000,None,1359211000,296405000,0,1062806000,1001348000,-826162000,None,1062806000
2022-07-30,USD,1096597000,11843008000,10746411000,8571550000,-1078264000,2174861000,None,2174861000,None,None,None,None,11843008000,None,216000000,None,1085590000,276250000,0,809340000,782183000,-1078264000,None,809340000
2022-04-30,USD,871060000,11406474000,10535414000,8223213000,-1441141000,2094582000,None,2312201000,None,None,None,None,11406474000,None,218000000,None,852275000,264802000,0,587473000,533639000,-1441141000,None,587473000
2022-01-29,USD,336752000,13785172000,13448420000,10094515000,-3017153000,2495905000,None,3353905000,None,None,None,None,13908368000,None,218000000,None,1242895000,302691000,123196000,940204000,834261000,-3017153000,None,940204000
2021-10-30,USD,1399709000,12531890000,11132181000,8835532000,-896940000,2296649000,None,2296649000,None,None,None,None,12531890000,None,215000000,None,1379035000,356035000,0,1023000000,1019485000,-896940000,None,1023000000
2021-07-31,USD,1082993000,11834815000,10751822000,8528130000,-1140699000,2223692000,None,2223692000,None,None,None,None,11834815000,None,213000000,None,1054332000,268651000,242248000,785681000,789173000,-1140699000,None,785681000
2021-05-01,USD,766034000,10086661000,9320627000,7255635000,-1298958000,2064992000,None,2064992000,None,None,None,None,10086661000,None,212000000,None,721346000,187416000,None,533930000,558817000,-1298958000,None,533930000
2021-01-30,USD,3060635000,10643210000,10933676000,7882575000,3060635000,2193101000,None,3051101000,None,None,None,None,10643210000,None,209000000,None,508138000,182615000,300000000,3060635000,462313000,3060635000,None,325523000
2020-10-31,USD,3055004000,10117289000,9048413000,7062285000,-917252000,1986128000,None,1986128000,None,None,None,None,10117289000,None,216000000,None,1015992000,149336000,0,866656000,846736000,-917252000,None,866656000
2020-08-01,USD,1493085000,6667575000,6702258000,5174490000,1493085000,1527768000,None,1527768000,None,None,None,None,6667575000,None,217000000,None,-92019000,122201000,0,1493085000,-139837000,1493085000,None,-214220000
2020-05-02,USD,-5577000,4408888000,5728385000,4414465000,-5577000,1313920000,None,1313920000,None,None,None,None,4408888000,None,217000000,None,-1342848000,-455359000,None,-5577000,-1011642000,-5577000,None,-887489000
2020-02-01,USD,3464657000,12206462000,11735134000,8741805000,3464657000,2135329000,None,2993329000,None,None,None,None,12206462000,None,217500000,None,1326275000,341485000,None,3464657000,949033000,3464657000,None,984790000
2019-11-02,USD,3011301000,10451334000,9325956000,7440033000,3011301000,1885923000,None,1885923000,None,None,None,None,10451334000,None,216300000,None,1122119000,293856000,None,3011301000,903674000,3011301000,None,828263000
2019-08-03,USD,2755539000,9781596000,8757392000,7026057000,2755539000,1731335000,None,1731335000,None,None,None,None,9781596000,None,214500000,None,1021307000,262345000,None,2755539000,679419000,2755539000,None,758962000
2019-05-04,USD,2639700000,9277585000,8340286000,6637885000,2639700000,1702401000,None,1702401000,None,None,None,None,9277585000,None,209700000,None,936482000,236304000,None,2639700000,697217000,2639700000,None,700178000
2019-02-02,USD,3093700000,11127340000,10769167000,8033640000,1325967000,1916627000,None,2720953000,None,None,None,None,11127340000,None,217400000,None,1178578000,337040000,None,3093700000,803064000,1325967000,None,841538000
2018-11-03,USD,2842276000,9825759000,8776053000,6983483000,1213603000,1756448000,None,1792570000,None,None,None,None,9825759000,None,203600000,None,1046518000,284265000,None,2842276000,768804000,1213603000,None,762253000
2018-08-04,USD,2695300000,9331115000,8335529000,6635815000,1159831000,1699714000,None,1699714000,None,None,None,None,9331115000,None,204200000,None,992557000,252931000,None,2695300000,696758000,1159831000,None,739626000
2018-05-05,USD,2510481000,8688720000,7729014000,6178239000,1063826000,1550775000,None,1552519000,None,None,None,None,8688720000,None,193700000,None,955558000,239177000,None,2510481000,602710000,1063826000,None,716381000
2018-02-03,USD,3111320000,10960720000,28224218000,7849400000,1320324000,1895601000,None,2722051000,None,None,None,None,10960720000,None,193200000,None,1112380000,235104000,None,3111320000,1038336000,1320324000,None,877276000
