fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,204663000,463933000,372147000,268528000,60913000,103619000,25190000,128809000,None,-9258000,9258000,9258000,473191000,131000,None,41084000,51786000,-1447000,9258000,53233000,53196000,60913000,102128000,53233000
2022-06-30,USD,193448000,462471000,374938000,275237000,56757000,99701000,23386000,123087000,None,-6214000,6214000,6214000,468685000,216000,None,37717000,50759000,10813000,6214000,39946000,39880000,56757000,94690000,39946000
2022-03-31,USD,192418000,451304000,361585000,263690000,55868000,97895000,23941000,121836000,None,-4804000,4804000,4804000,456108000,364000,None,38149000,51428000,11444000,4804000,39984000,39287000,55868000,94381000,39984000
2021-12-31,USD,187160000,428550000,438213000,246377000,48052000,101036000,24238000,219660000,None,-4987000,4987000,4987000,433537000,295000,None,37760000,43360000,-11422000,None,54782000,54782000,48052000,86107000,54782000
2021-09-30,USD,196216000,454477000,365504000,263657000,56184000,101847000,24002000,125849000,None,-5396000,5396000,5396000,459873000,445000,None,36888000,51233000,7063000,5396000,44170000,44170000,56184000,93517000,44170000
2021-06-30,USD,182061000,391637000,330936000,222014000,38291000,108922000,23428000,132350000,None,-12437000,1000,12438000,404075000,238000,None,39876000,26092000,562000,12437000,25530000,25530000,38291000,78406000,25530000
2021-03-31,USD,144207000,294719000,229369000,150595000,38208000,78774000,21813000,100014000,None,-478000,-395000,83000,294802000,566000,None,21100000,38296000,1320000,178000,36976000,36976000,38208000,59396000,36976000
2020-12-31,USD,138669000,283285000,262452000,144616000,48036000,62736000,22411000,141364000,None,-256000,None,None,283285000,632000,None,20911000,48412000,-5682000,None,48412000,48412000,48036000,69323000,54094000
2020-09-30,USD,143509000,285746000,209056000,142237000,49656000,66819000,21642000,88461000,None,-254000,None,None,285746000,534000,None,20476000,49936000,10652000,None,39284000,39284000,49656000,70412000,39284000
2020-06-30,USD,131203000,271091000,202409000,139888000,41341000,62521000,21949000,84470000,None,-251000,None,251000,271091000,470000,None,20285000,41811000,-12081000,251000,53892000,53892000,41341000,62096000,53892000
2020-03-31,USD,129131000,276541000,214895000,147410000,33893000,67485000,22361000,89846000,None,-251000,990000,251000,276541000,990000,None,19985000,34883000,-12667000,251000,47550000,47550000,33893000,54868000,47550000
2019-12-31,USD,142275000,288837000,253865000,146562000,45157000,70265000,21128000,127159000,None,None,None,1750000,288837000,4660000,None,37038000,47790000,1000000,None,47790000,47790000,45157000,82195000,46790000
2019-09-30,USD,130717000,275400000,214217000,144683000,40053000,63888000,21130000,90664000,None,None,None,1750000,275400000,499000,None,5646000,40552000,162000,None,40390000,40390000,40053000,45699000,40390000
2019-06-30,USD,127860000,275124000,218357000,147264000,36666000,65827000,20101000,91194000,None,None,None,709000,275124000,-247000,None,5266000,36419000,4420000,None,31999000,31999000,36666000,41932000,31999000
2019-03-31,USD,116048000,247066000,193634000,131018000,34491000,57766000,18941000,82705000,None,None,None,709000,247066000,586000,None,4850000,35077000,7729000,None,27348000,27348000,34491000,39341000,27348000
2018-12-31,USD,115871000,241981000,209102000,126110000,38927000,55134000,17371000,100935000,None,None,None,770000,241981000,1180000,None,27858000,40107000,8555000,None,40107000,40107000,38927000,66785000,31552000
2018-09-30,USD,111626000,236067000,181432000,124441000,37585000,52605000,17050000,74041000,None,None,None,770000,236067000,1041000,None,4386000,38626000,-298000,None,38924000,38924000,37585000,41971000,38924000
2018-06-30,USD,109276000,236060000,183087000,126784000,37142000,52262000,15831000,72134000,None,None,None,770000,236060000,558000,None,4041000,37700000,-1461000,None,39161000,39161000,37142000,41183000,39161000
2018-03-31,USD,102805000,442348000,169288000,118369000,38838000,47604000,13048000,64287000,None,None,None,770000,221174000,599000,None,3315000,39437000,1612000,None,37825000,37825000,38838000,42153000,37825000
2017-12-31,USD,105350000,217851000,183663000,112351000,44347000,45621000,12017000,87439000,None,None,None,191000,217701000,914000,None,25587000,45261000,-20935000,None,45173000,45173000,44347000,69934000,66196000
