fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,10500755000,1694748000,17708457000,259102000,6.541,0.096,0.018,-0.203,-0.107
2022-06-30,11794474000,2561233000,16808644000,263221000,9.73,0.152,0.342,0.7,0.917
2022-03-31,10493282000,2095623000,15204562000,271564000,7.717,0.138,0.495,1.224,1.472
2021-12-31,10364412000,2250418000,14016389000,280671000,8.018,0.161,0.97,4.642,5.1
2021-09-30,10313223000,2127743000,13422520000,290510000,7.324,0.159,1.093,10.001,10.489
2021-06-30,8789164000,1506868000,12253978000,296817000,5.077,0.123,1.031,12.84,13.124
2021-03-31,7017140000,942432000,11447240000,301846000,3.122,0.082,0.248,45.354,45.518
2020-12-31,5260055000,398843000,10788665000,303456000,1.314,0.037,0.025,2.699,2.7
2020-09-30,4927960000,193415000,10302414000,303394000,0.638,0.019,-0.098,-0.297,-0.294
2020-06-30,4327306000,108881000,10194820000,302921000,0.359,0.011,-0.266,-0.718,-0.716
2020-03-31,5624337000,20331000,10168204000,302909000,0.067,0.002,,,
2019-12-31,5131746000,107823000,10357866000,303501000,0.355,0.01,,,
2019-09-30,5464502000,275031000,10449047000,304637000,0.903,0.026,,,
2019-06-30,5895986000,386483000,10300717000,305461000,1.265,0.038,,,
2021-12-31,36320818000,6827461000,14016389000,280671000,24.325,0.487,0.818,8.463,9.231
2020-12-31,19973045000,721470000,10788665000,303456000,2.378,0.067,-0.11,-0.432,-0.432
2019-12-31,22431500000,1271143000,10357866000,303501000,4.188,0.123,-0.105,-0.462,-0.451
2018-12-31,25067279000,2360767000,9792078000,309648000,7.624,0.241,,,
