fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,-1782000000,1408000000,3190000000,None,-1786000000,None,None,4000000,190000000,-14000000,195000000,14000000,1882000000,None,None,26000000,-579000000,-161000000,14000000,-418000000,-823000000,-565000000,-539000000,-418000000
2022-06-30,USD,-2126000000,820000000,2946000000,None,-2131000000,None,None,5000000,193000000,-13000000,None,13000000,1773000000,None,None,26000000,-1041000000,-233000000,13000000,-808000000,-1290000000,-1028000000,-1002000000,-808000000
2022-03-31,USD,-1174000000,1215000000,2389000000,None,-1178000000,None,None,4000000,184000000,-13000000,188000000,13000000,1690000000,None,None,29000000,-360000000,-87000000,13000000,-273000000,-862000000,-347000000,-318000000,-273000000
2021-12-31,USD,1054000000,3323000000,2269000000,None,1029000000,None,None,25000000,185000000,-14000000,188000000,14000000,1676000000,None,None,24000000,1846000000,376000000,14000000,1470000000,1455000000,1860000000,1884000000,1470000000
2021-09-30,USD,-671000000,1785000000,2456000000,None,-676000000,None,None,5000000,178000000,-13000000,182000000,13000000,1669000000,None,None,23000000,184000000,31000000,13000000,153000000,85000000,197000000,220000000,153000000
2021-06-30,USD,170000000,2295000000,2125000000,None,165000000,None,None,5000000,174000000,-13000000,177000000,13000000,1593000000,None,None,23000000,872000000,169000000,13000000,703000000,809000000,885000000,908000000,703000000
2021-03-31,USD,-56000000,2227000000,2283000000,None,-60000000,None,None,4000000,172000000,-13000000,176000000,13000000,1544000000,None,None,23000000,768000000,148000000,13000000,620000000,476000000,781000000,804000000,620000000
2020-12-31,USD,2694000000,2694000000,2145000000,None,2694000000,None,None,24000000,171000000,-14000000,175000000,14000000,1520000000,None,None,19000000,1316000000,267000000,14000000,1316000000,1132000000,1330000000,1349000000,1049000000
2020-09-30,USD,-345000000,2227000000,2572000000,None,-350000000,None,None,5000000,165000000,-13000000,168000000,13000000,1522000000,533000000,None,20000000,614000000,130000000,13000000,484000000,573000000,627000000,647000000,484000000
2020-06-30,USD,266000000,2714000000,2448000000,None,261000000,None,None,5000000,164000000,-14000000,167000000,14000000,1482000000,1060000000,None,20000000,1145000000,236000000,14000000,909000000,1302000000,1159000000,1179000000,909000000
2020-03-31,USD,-2370000000,-99000000,2271000000,None,-2375000000,None,None,5000000,162000000,-13000000,165000000,13000000,1456000000,None,None,22000000,-1576000000,-350000000,13000000,-1226000000,-1470000000,-1563000000,-1541000000,-1226000000
2019-12-31,USD,2152000000,2152000000,2144000000,1333000000,2152000000,None,None,19000000,166000000,-13000000,169000000,13000000,1441000000,None,None,18000000,781000000,155000000,13000000,781000000,632000000,794000000,812000000,626000000
2019-09-30,USD,-434000000,1700000000,2134000000,1364000000,-439000000,None,None,5000000,156000000,-14000000,160000000,14000000,1446000000,None,None,18000000,294000000,46000000,14000000,248000000,326000000,308000000,326000000,248000000
2019-06-30,USD,-210000000,1913000000,2123000000,1344000000,-214000000,None,None,4000000,158000000,-13000000,161000000,13000000,1384000000,None,None,17000000,530000000,102000000,13000000,428000000,582000000,543000000,560000000,428000000
2019-03-31,USD,193000000,2159000000,1966000000,1249000000,185000000,None,None,8000000,154000000,-13000000,None,13000000,1337000000,None,None,19000000,867000000,172000000,13000000,695000000,883000000,880000000,899000000,695000000
2018-12-31,USD,710000000,710000000,2040000000,1253000000,710000000,None,None,6000000,159000000,-13000000,None,13000000,488000000,None,None,15000000,-581000000,-129000000,13000000,-581000000,-426000000,-568000000,-553000000,-452000000
2018-09-30,USD,524000000,1915000000,1989000000,1263000000,521000000,None,None,3000000,153000000,-14000000,None,14000000,1915000000,None,None,16000000,618000000,65000000,14000000,553000000,494000000,632000000,648000000,553000000
2018-06-30,USD,-444000000,1558000000,2002000000,1259000000,-447000000,None,None,3000000,153000000,-13000000,None,13000000,1298000000,None,None,14000000,264000000,47000000,13000000,217000000,157000000,277000000,291000000,217000000
2018-03-31,USD,-718000000,1224000000,1942000000,1243000000,-722000000,None,None,4000000,149000000,-13000000,None,13000000,1264000000,None,None,18000000,-50000000,-19000000,13000000,-31000000,-201000000,-37000000,-19000000,-31000000
2017-12-31,USD,1411000000,1411000000,1899000000,1185000000,1411000000,None,None,2000000,155000000,-14000000,None,14000000,1262000000,None,None,15000000,197000000,-445000000,14000000,197000000,891000000,211000000,226000000,642000000
