fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,16961799000,3202442000,367510000,544644000,106845000,2493271000,13774368000,3240310000,None,7202357000,179715000,7022642000,439237000,302100000,177134000,160511000,307713000,14888919000,2537409000,417139000,None,214254000,611134000,12351510000,2955235000,9128961000,214254000,None,9128961000,796200000,106895000,532672000,787854000,846634000,98000,90104000
2022-06-30,USD,17100575000,3264108000,262605000,493138000,109522000,2634821000,13851474000,3304596000,None,7204518000,184740000,7019778000,503345000,313026000,230533000,156671000,257577000,14939580000,2310747000,402308000,None,197510000,595931000,12628833000,3004812000,9312986000,197510000,None,9312986000,752717000,105137000,604784000,603058000,741268000,98000,92206000
2022-03-31,USD,17087010000,3128714000,327502000,399180000,107722000,2501743000,13973298000,3439337000,None,7263999000,191096000,7072903000,328291000,300656000,71678000,172340000,185166000,14677930000,2420447000,433137000,None,185728000,584829000,12257483000,3021140000,8926830000,185728000,None,8926830000,737160000,108954000,843771000,233318000,516459000,97000,95238000
2021-12-31,USD,17121488000,3167723000,461900000,541035000,107428000,2410508000,13968764000,3479972000,4763135000,7223934000,177693000,7046241000,333931000,303394000,79135000,165577000,136677000,14750508000,2398533000,402049000,None,179030000,573387000,12351975000,3067070000,17929730000,179030000,None,17929730000,709345000,119158000,755508000,0,354337000,97000,97289000
2021-09-30,USD,17633940000,3839538000,1045742000,1132720000,114096000,2491083000,13794402000,3463212000,None,7092788000,152121000,6940667000,311676000,276761000,86978000,161927000,101469000,14881772000,2363053000,387712000,None,166818000,554907000,12518719000,3104796000,8997470000,166818000,None,8997470000,723080000,163051000,1149437000,899447000,1643514000,111000,103136000
2021-06-30,USD,17810311000,3978586000,1043632000,1150811000,115369000,2550678000,13831725000,3485600000,None,7106149000,162484000,6943665000,324089000,279166000,107179000,232206000,95490000,14921274000,2386040000,376264000,None,184435000,566777000,12535234000,3109665000,9045563000,184435000,None,9045563000,837284000,157687000,1277780000,563230000,1383760000,111000,105625000
2021-03-31,USD,17647268000,3866681000,884205000,938216000,116322000,2604494000,13780587000,3490442000,None,7041915000,150706000,6891209000,343415000,289404000,54011000,250600000,90534000,14864893000,2314724000,348105000,None,168191000,540928000,12550169000,3112048000,9063191000,168191000,None,9063191000,846710000,150724000,1248106000,322333000,1089940000,110000,107078000
2020-12-31,USD,16988516000,3148724000,324958000,397353000,111625000,2438821000,14115181000,3521824000,4480429000,7085694000,166585000,6919109000,362079000,289684000,72395000,253219000,79501000,14091736000,2476143000,434253000,None,168541000,538038000,11615593000,3108167000,16327042000,168541000,None,16327042000,810529000,150060000,1383566000,0,852537000,110000,109933000
2020-09-30,USD,17046672000,3429675000,710514000,779101000,106254000,2428212000,13616997000,3417919000,None,6986455000,118078000,6868377000,350937000,282350000,68587000,165335000,96110000,13989398000,2499241000,388504000,None,163787000,528977000,11490157000,3075740000,16170462000,163787000,None,16170462000,879792000,147371000,1574757000,1028578000,2031607000,126000,113781317
2020-06-30,USD,19305091000,5779830000,2928910000,3265480000,97902000,2428828000,13525261000,3417918000,None,6903985000,113379000,6790606000,620399000,283829000,336570000,170075000,92909000,15729337000,4274563000,357283000,None,1906560000,2266965000,11454774000,3069974000,17940397000,1906560000,None,17940397000,902019000,144121000,2153915000,303139000,1872933000,126000,121984334
2020-03-31,USD,17596300000,4023939000,1381764000,1435173000,95685000,2370537000,13830111000,3445423000,None,6895976000,117953000,6778023000,342565000,289156000,53409000,166577000,94030000,14234920000,2220746000,340092000,None,146318000,502351000,9279804000,3090403000,17219063000,146318000,None,17219063000,757784000,161940000,1947846000,303139000,1671331000,126000,121804880
2019-12-31,USD,17311394000,3690170000,1102372000,1162035000,97949000,2305065000,13626487000,3473384000,3969566000,6923319000,135684000,6787635000,338165000,36519000,59663000,173212000,115972000,13811776000,2372098000,403840000,None,130708000,474620000,8138335000,3067712000,16362148000,130708000,None,16362148000,756174000,160809000,2133409000,0,1431738000,126000,125842853
2019-09-30,USD,17451830000,3998718000,1253256000,1489723000,98641000,2391606000,13488693000,3419238000,None,6883325000,117666000,6765659000,490894000,35041000,236467000,154502000,114834000,13643248000,2206640000,332136000,None,121441000,495655000,8149562000,3056339000,16393949000,121441000,None,16393949000,716023000,135087000,2318576000,1860157000,3349180000,167000,133888864
2019-06-30,USD,19930960000,6390629000,3575638000,3621115000,96819000,2551588000,13560915000,3405315000,None,6985960000,120574000,6865386000,306205000,35051000,45477000,161371000,97443000,14502158000,5706944000,388955000,None,3591331000,3963956000,5512403000,3061874000,14442700000,3591331000,None,14442700000,726011000,134605000,4049298000,112189000,3205910000,167000,164472913
2019-03-31,USD,22605944000,9225076000,459242000,501726000,104236000,2485653000,10418023000,3392266000,None,6917692000,118324000,6799368000,303207000,34414000,42484000,6171910000,73651000,17376227000,8230877000,365192000,None,4676691000,5044104000,6519574000,2993189000,16370360000,4676691000,None,16370360000,572944000,143756000,3875354000,None,2932359000,166000,166396147
2018-12-31,USD,19110252000,8424159000,323038000,364332000,107381000,2397018000,10461482000,3393669000,3524098000,6960806000,118846000,6841960000,301329000,35424000,41294000,5593787000,71583000,14077213000,4891161000,463270000,None,1929369000,1929369000,9191982000,None,20308432000,1929369000,None,20308432000,595850000,450669000,3703442000,0,2743194000,166000,166387307
2018-09-30,USD,19357789000,8929501000,448215000,492722000,91102000,2256871000,10187468000,3275636000,None,6800268000,97609000,6702659000,320374000,35047000,44507000,6128583000,76517000,14264115000,4855104000,458927000,None,1784065000,1784065000,9409011000,None,25007023000,1784065000,None,25007023000,560692000,452445000,3824649000,1153511000,3951247000,183000,165984480
2018-06-30,USD,19435564000,9085362000,389264000,432520000,112729000,2337450000,10101182000,3229098000,None,6778814000,100255000,6678559000,326476000,34200000,43256000,6241391000,59070000,13903899000,4783778000,542272000,None,1768514000,1768514000,9120121000,None,24408965000,1768514000,None,24408965000,568536000,418123000,4279184000,809900000,4088043000,183000,170820196
2018-03-31,USD,18942372000,8673555000,358874000,363476000,125555000,2265164000,10057597000,3185223000,None,6751958000,113366000,6638592000,284510000,34344000,4602000,5919360000,51728000,13125790000,2947523000,437733000,None,184136000,184136000,10178267000,None,23415073000,184136000,None,23415073000,544846000,391156000,4580680000,298377000,3820767000,183000,178463408
2017-12-31,USD,18974536000,8770701000,508234000,551750000,181799000,2137109000,9995996000,3149213000,3103662000,6724106000,113827000,6610279000,326745000,37695000,43516000,112058000,47287000,13077110000,3067520000,509116000,None,178213000,178213000,9528790000,None,23300364000,178213000,None,23300364000,579005000,365325000,4690029000,0,3633713000,182000,182462278
