fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,21643000000,4123000000,2384000000,2384000000,278000000,None,17520000000,15092000000,17264000000,360000000,None,360000000,19000000,None,None,86000000,720000000,13449000000,2312000000,321000000,24000000,None,121000000,11137000000,185000000,8303000000,0,8303000000,8303000000,1703000000,522000000,7559000000,None,1354000000,308000000,307600000
2022-06-30,USD,21180000000,3969000000,2159000000,2159000000,317000000,None,17211000000,14818000000,17584000000,360000000,None,360000000,31000000,None,None,87000000,701000000,13422000000,2355000000,359000000,24000000,None,114000000,11067000000,190000000,8332000000,0,8332000000,8332000000,1741000000,516000000,7136000000,None,1075000000,310000000,309700000
2022-03-31,USD,19798000000,3266000000,1370000000,1370000000,243000000,None,16532000000,14489000000,17293000000,360000000,None,360000000,64000000,None,None,129000000,723000000,12750000000,2303000000,312000000,24000000,22000000,113000000,10447000000,195000000,7956000000,22000000,7934000000,7956000000,1749000000,485000000,6308000000,None,680000000,311000000,308900000
2021-12-31,USD,20515000000,4346000000,2713000000,2713000000,223000000,None,16366000000,14182000000,16996000000,360000000,None,360000000,354000000,197000000,None,199000000,651000000,13489000000,3064000000,220000000,24000000,536000000,606000000,10425000000,200000000,8458000000,517000000,7941000000,8458000000,2458000000,502000000,6300000000,None,379000000,310000000,309700000
2021-09-30,USD,19490000000,3892000000,2419000000,2419000000,262000000,None,15598000000,13954000000,16606000000,360000000,None,360000000,111000000,None,None,117000000,744000000,13234000000,2749000000,210000000,None,514000000,602000000,10485000000,205000000,8507000000,514000000,7993000000,8507000000,1578000000,693000000,5609000000,None,192000000,310000000,308100000
2021-06-30,USD,19166000000,3969000000,2430000000,2430000000,241000000,None,15197000000,13657000000,16285000000,360000000,None,360000000,23000000,None,None,68000000,631000000,12634000000,2527000000,178000000,None,511000000,601000000,10107000000,210000000,8223000000,511000000,7712000000,8223000000,1480000000,718000000,5488000000,None,155000000,310000000,307500000
2021-03-31,USD,18951000000,3522000000,1866000000,1866000000,219000000,None,15429000000,13863000000,16779000000,360000000,None,360000000,158000000,None,None,197000000,618000000,12308000000,1690000000,172000000,None,13000000,96000000,10618000000,215000000,8286000000,13000000,8273000000,8286000000,1254000000,611000000,5616000000,None,305000000,308000000,305800000
2020-12-31,USD,18821000000,3081000000,1739000000,1739000000,378000000,None,15952000000,14115000000,16404000000,360000000,None,360000000,268000000,212000000,None,104000000,567000000,12486000000,1623000000,200000000,0,28000000,91000000,10863000000,220000000,8296000000,10000000,8286000000,8296000000,1192000000,643000000,5366000000,None,130000000,307000000,307000000
2020-09-30,USD,18969000000,3136000000,1285000000,1285000000,422000000,None,15833000000,14235000000,15931000000,360000000,None,360000000,None,None,None,247000000,672000000,12087000000,1426000000,200000000,None,8000000,107000000,10661000000,224000000,8288000000,8000000,8280000000,8288000000,1074000000,575000000,5916000000,None,304000000,307000000,305000000
2020-06-30,USD,19546000000,3115000000,1646000000,1646000000,360000000,None,16431000000,14825000000,17384000000,360000000,None,360000000,458000000,None,None,63000000,642000000,12180000000,1564000000,307000000,None,5000000,113000000,10616000000,229000000,8210000000,5000000,8205000000,8210000000,1110000000,570000000,6395000000,None,625000000,307000000,305000000
2020-03-31,USD,20717000000,4270000000,2080000000,2080000000,230000000,None,16370000000,14811000000,16893000000,360000000,None,360000000,1104000000,None,None,68000000,626000000,12539000000,1947000000,431000000,None,3000000,149000000,10264000000,233000000,8194000000,3000000,8191000000,8194000000,1334000000,554000000,7200000000,None,1021000000,307000000,304000000
2019-12-31,USD,21782000000,3156000000,1545000000,1545000000,261000000,None,18768000000,16814000000,19006000000,360000000,None,360000000,348000000,222000000,None,180000000,626000000,12076000000,2510000000,411000000,0,199000000,199000000,9151000000,238000000,7142000000,0,7142000000,7142000000,1803000000,521000000,8732000000,None,3535000000,305000000,304900000
2019-09-30,USD,21631000000,3398000000,1863000000,1863000000,289000000,None,18215000000,16449000000,18506000000,360000000,None,360000000,71000000,2000000,None,124000000,571000000,11454000000,2344000000,396000000,None,274000000,274000000,8699000000,242000000,6541000000,15000000,6526000000,6541000000,1570000000,709000000,8908000000,None,3836000000,305000000,302500000
2019-06-30,USD,21695000000,3684000000,2208000000,2208000000,278000000,None,17053000000,16107000000,17991000000,360000000,None,360000000,92000000,1000000,None,138000000,586000000,11164000000,2332000000,353000000,None,14000000,343000000,8191000000,246000000,6525000000,14000000,6511000000,6525000000,1541000000,524000000,9294000000,None,4125000000,304000000,302200000
2019-03-31,USD,21716000000,3834000000,2300000000,2300000000,274000000,None,16815000000,15898000000,17548000000,360000000,None,360000000,96000000,None,None,144000000,557000000,11163000000,2271000000,399000000,None,12000000,414000000,8206000000,250000000,6562000000,12000000,6550000000,6562000000,1369000000,491000000,9342000000,None,4207000000,304000000,297400000
2018-12-31,USD,21433000000,4459000000,2694000000,2694000000,245000000,None,17146000000,16083000000,17139000000,360000000,None,360000000,677000000,193000000,None,519000000,510000000,10545000000,2203000000,495000000,None,67000000,67000000,8342000000,0,6672000000,67000000,6605000000,6672000000,1560000000,575000000,9629000000,None,4257000000,291000000,291400000
2018-09-30,USD,21467000000,4501000000,3004000000,3004000000,263000000,None,16956000000,16013000000,16606000000,360000000,360000000,360000000,66000000,None,None,52000000,583000000,10421000000,1958000000,383000000,None,85000000,85000000,8463000000,None,6421000000,85000000,6609000000,6421000000,1394000000,657000000,9650000000,None,4410000000,296000000,294300000
2018-06-30,USD,21464000000,4694000000,2908000000,2908000000,231000000,784000000,16752000000,15869000000,16171000000,360000000,360000000,360000000,33000000,None,None,59000000,523000000,10128000000,1945000000,363000000,None,87000000,87000000,8183000000,None,6439000000,87000000,6352000000,6439000000,1446000000,634000000,9972000000,None,4692000000,300000000,297500000
2018-03-31,USD,22072000000,5014000000,3726000000,3726000000,239000000,729000000,17036000000,16181000000,16725000000,360000000,360000000,360000000,13000000,None,None,52000000,495000000,10135000000,1904000000,375000000,None,196000000,196000000,8231000000,None,6568000000,196000000,6372000000,6568000000,1251000000,660000000,10605000000,None,5166000000,308000000,309500000
2017-12-31,USD,23112000000,6157000000,4847000000,4847000000,232000000,957000000,17068000000,16192000000,16312000000,360000000,360000000,360000000,135000000,134000000,None,54000000,382000000,10758000000,2435000000,435000000,None,580000000,580000000,8323000000,None,6977000000,580000000,6397000000,6977000000,1337000000,744000000,11051000000,None,5597000000,315000000,315100000
