fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,15508000000,2976000000,1282000000,1282000000,None,1278000000,12532000000,254000000,None,9804000000,4814000000,4990000000,None,None,None,197000000,605000000,16422000000,3365000000,None,2162000000,39000000,39000000,11012000000,939000000,8885000000,39000000,None,8885000000,3060000000,689000000,3000000,5545000000,-5477000000,3000000,271541523
2022-06-30,USD,15382000000,2840000000,1175000000,1175000000,None,1289000000,12542000000,271000000,None,9877000000,4847000000,5030000000,None,None,None,169000000,531000000,16171000000,3195000000,None,2167000000,41000000,41000000,10997000000,753000000,8903000000,41000000,None,8903000000,1247000000,687000000,3000000,5048000000,-5783000000,3000000,275510784
2022-03-31,USD,15459000000,2861000000,1432000000,1432000000,None,1054000000,12598000000,290000000,None,9936000000,4875000000,5061000000,None,None,None,132000000,544000000,16156000000,3085000000,None,2155000000,45000000,45000000,11081000000,1011000000,8933000000,45000000,None,8933000000,2769000000,692000000,3000000,4573000000,-6110000000,3000000,278994111
2021-12-31,USD,15441000000,2871000000,1427000000,1427000000,None,1068000000,12570000000,305000000,505000000,9954000000,4883000000,5071000000,None,None,None,202000000,452000000,16260000000,3019000000,274000000,2412000000,54000000,194000000,11896000000,158000000,17793000000,4000000,None,17793000000,2201000000,746000000,3000000,4443000000,-6322000000,3000000,279091009
2021-09-30,USD,15314000000,2694000000,1288000000,1288000000,None,1012000000,12620000000,303000000,None,9968000000,4890000000,5078000000,None,None,None,171000000,448000000,16442000000,2622000000,None,2134000000,54000000,54000000,11363000000,1115000000,8947000000,54000000,None,8947000000,2270000000,961000000,3000000,4447000000,-6469000000,3000000,278718682
2021-06-30,USD,15090000000,2379000000,1044000000,1044000000,None,952000000,12711000000,318000000,None,9989000000,4899000000,5090000000,None,None,None,184000000,441000000,16506000000,2779000000,None,2325000000,50000000,50000000,11449000000,1178000000,8952000000,50000000,None,8952000000,2342000000,980000000,3000000,4447000000,-6710000000,3000000,278685391
2021-03-31,USD,15974000000,3468000000,2402000000,2402000000,None,797000000,12506000000,327000000,None,9979000000,4895000000,5084000000,None,None,None,120000000,311000000,17594000000,2476000000,None,2538000000,48000000,48000000,12769000000,1197000000,3788000000,48000000,None,3788000000,2064000000,961000000,3000000,4453000000,-6840000000,3000000,278527885
2020-12-31,USD,16755000000,4202000000,3218000000,3218000000,None,771000000,12553000000,346000000,486000000,10652000000,5557000000,5095000000,None,None,None,98000000,323000000,18241000000,2431000000,224000000,2686000000,5979000000,5923000000,14243000000,196000000,4293000000,None,None,10216000000,1611000000,989000000,3000000,4453000000,-6732000000,3000000,277590904
2020-09-30,USD,17129000000,4584000000,3405000000,3405000000,None,890000000,12545000000,349000000,None,10705000000,5536000000,5169000000,None,None,None,113000000,315000000,18448000000,2299000000,None,3261000000,51000000,51000000,13834000000,954000000,10222000000,51000000,None,10222000000,2003000000,1031000000,3000000,4457000000,-6508000000,3000000,277430022
2020-06-30,USD,17126000000,4577000000,3503000000,3503000000,None,827000000,12549000000,355000000,None,10704000000,5557000000,5147000000,None,None,None,84000000,304000000,18417000000,2306000000,None,1634000000,45000000,45000000,11445000000,926000000,10219000000,45000000,None,10219000000,2019000000,1008000000,3000000,4457000000,-6429000000,3000000,277309060
