fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,42158000000,11685000000,2031000000,2031000000,2510000000,5791000000,31764000000,3042000000,3249000000,21969000000,4641000000,17328000000,975000000,963000000,None,1229000000,3748000000,25890000000,11239000000,4241000000,1768000000,1534000000,669000000,13517000000,None,8316000000,865000000,None,8985000000,2482000000,5671000000,16268000000,1203000000,1151000000,7000000,688600000
2022-06-30,USD,42324000000,11559000000,1506000000,1506000000,2574000000,5919000000,30902000000,2962000000,None,22489000000,4764000000,17725000000,1108000000,1070000000,None,1235000000,3352000000,26336000000,11883000000,4125000000,1846000000,2298000000,2081000000,13298000000,None,7194000000,217000000,None,2081000000,2479000000,5523000000,15988000000,1201000000,645000000,7000000,692200000
2022-03-31,USD,42991000000,11612000000,1787000000,1787000000,2515000000,5757000000,31510000000,3103000000,None,22918000000,4889000000,18029000000,1134000000,1073000000,None,1235000000,3206000000,26455000000,11654000000,4101000000,1971000000,2284000000,2044000000,13649000000,None,7366000000,240000000,None,2044000000,2264000000,5563000000,16536000000,1200000000,900000000,7000000,699100000
2021-12-31,USD,42222000000,10353000000,1207000000,1207000000,2425000000,5734000000,32004000000,3213000000,None,23891000000,5505000000,18386000000,1160000000,1102000000,None,1050000000,3504000000,24973000000,9987000000,4083000000,1845000000,612000000,392000000,13745000000,None,7437000000,220000000,None,392000000,2521000000,5809000000,17249000000,1199000000,1638000000,7000000,704300000
2021-09-30,USD,41890000000,9998000000,1336000000,1336000000,2057000000,5811000000,31907000000,3228000000,3287000000,23884000000,5549000000,18335000000,1107000000,1066000000,1066000000,992000000,3558000000,24328000000,9098000000,3746000000,1637000000,234000000,8000000,14039000000,None,7740000000,226000000,None,7748000000,2473000000,5905000000,17562000000,1152000000,2025000000,7000000,711800000
2021-06-30,USD,42135000000,10310000000,1450000000,1450000000,2064000000,5746000000,31841000000,3111000000,None,24124000000,5679000000,18445000000,1056000000,1016000000,1016000000,1128000000,3389000000,24295000000,9285000000,3719000000,1649000000,461000000,265000000,13853000000,None,7318000000,196000000,None,265000000,2460000000,5803000000,17840000000,1149000000,2256000000,7000000,714500000
2021-03-31,USD,41180000000,10204000000,1883000000,1883000000,1994000000,5234000000,30992000000,3015000000,None,23383000000,5259000000,18124000000,1197000000,1045000000,1045000000,1160000000,3354000000,23482000000,8740000000,3417000000,1710000000,444000000,248000000,13683000000,None,7323000000,196000000,None,248000000,2352000000,5529000000,17698000000,1148000000,2215000000,7000000,717100000
2020-12-31,USD,41424000000,10034000000,1839000000,1839000000,1913000000,5233000000,31406000000,3082000000,None,23591000000,5384000000,18207000000,1094000000,1003000000,1003000000,1105000000,3559000000,23768000000,8486000000,3210000000,1583000000,464000000,11000000,14115000000,None,7469000000,453000000,None,11000000,2393000000,5536000000,17656000000,1146000000,2382000000,7000000,723100000
2020-09-30,USD,40815000000,10053000000,1951000000,1951000000,1773000000,5599000000,30778000000,3059000000,2871000000,23288000000,5356000000,17932000000,991000000,914000000,None,1035000000,3354000000,23368000000,8248000000,3120000000,1435000000,293000000,31000000,14034000000,None,7830000000,262000000,None,7861000000,2562000000,5368000000,17447000000,1119000000,2469000000,8000000,735100000
2020-06-30,USD,41278000000,11140000000,2342000000,2342000000,1996000000,5399000000,31283000000,3041000000,None,23123000000,5364000000,17759000000,883000000,834000000,834000000,1369000000,2941000000,23473000000,10304000000,3057000000,1451000000,2423000000,1321000000,12101000000,None,5671000000,1102000000,None,1321000000,2650000000,5360000000,17805000000,1119000000,2955000000,8000000,744000000
2020-03-31,USD,40402000000,9955000000,1006000000,1006000000,2030000000,5534000000,31553000000,3274000000,None,23463000000,5391000000,18072000000,919000000,869000000,None,1336000000,2795000000,22318000000,9509000000,3119000000,1600000000,1430000000,344000000,11805000000,None,5640000000,1086000000,None,344000000,2627000000,5230000000,18084000000,1118000000,3332000000,8000000,754800000
2019-12-31,USD,42513000000,11320000000,2160000000,2160000000,1953000000,5646000000,32302000000,3341000000,None,23961000000,5610000000,18351000000,964000000,865000000,None,1508000000,2980000000,23184000000,9692000000,3336000000,1495000000,1362000000,20000000,12390000000,None,5920000000,1342000000,None,20000000,2611000000,5457000000,19329000000,1116000000,4129000000,8000000,769900000
2019-09-30,USD,42287000000,12393000000,2805000000,2805000000,1814000000,6878000000,29912000000,3348000000,2496000000,23810000000,5632000000,18178000000,939000000,853000000,None,1906000000,1823000000,22521000000,9070000000,3582000000,1407000000,511000000,10000000,12388000000,None,7243000000,501000000,None,7253000000,2573000000,4636000000,19766000000,1086000000,4827000000,8000000,785600000
2019-06-30,USD,43069000000,13042000000,3685000000,3685000000,2050000000,6094000000,30047000000,3282000000,None,24051000000,5739000000,18312000000,911000000,848000000,None,1179000000,1787000000,22706000000,9242000000,3671000000,None,521000000,20000000,12418000000,None,6804000000,501000000,None,20000000,2834000000,5121000000,20363000000,2168000000,6366000000,9000000,870900000
2019-03-31,USD,48489000000,12836000000,239000000,239000000,2124000000,5761000000,35673000000,3332000000,None,24326000000,6015000000,18311000000,1015000000,937000000,None,1767000000,1829000000,28453000000,13441000000,3482000000,None,3968000000,2862000000,13747000000,None,8418000000,1106000000,None,2862000000,2180000000,4612000000,20036000000,2078000000,6416000000,10000000,902500000
2018-12-31,USD,48016000000,11955000000,292000000,292000000,2027000000,5489000000,36081000000,3314000000,None,24371000000,6080000000,18291000000,939000000,887000000,10000000,1152000000,2330000000,27914000000,11653000000,3273000000,1378000000,2320000000,2319000000,14956000000,None,9588000000,1000000,None,2319000000,2178000000,4598000000,20102000000,1543000000,6136000000,10000000,921600000
