fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,23437600000,6899700000,702800000,702800000,3781200000,1899800000,16909500000,12462500000,8753200000,1106300000,None,1106300000,1472700000,831700000,None,515900000,1384100000,11857000000,5130300000,1199800000,737100000,1463200000,833100000,8805600000,192000000,4589500000,630100000,3959400000,833100000,1968400000,2233600000,11580600000,None,13858000000,3400000,340437227
2022-06-30,USD,23985600000,7298700000,839100000,839100000,3640900000,2251900000,17029000000,12569400000,8688400000,1162100000,None,1162100000,1419200000,756800000,None,566800000,1380400000,12234300000,5632000000,1505700000,1268000000,1402400000,794700000,8461700000,157400000,4567300000,607700000,3959600000,794700000,1891400000,2017100000,11751300000,None,13634900000,3500000,352052452
2022-03-31,USD,23423100000,6225400000,881900000,881900000,3326500000,1530100000,17557000000,12837600000,8579600000,1196400000,None,1196400000,1407100000,727200000,None,486900000,1423900000,11784700000,5051700000,848700000,818400000,1930300000,1330600000,8712900000,157700000,4577000000,599700000,3977300000,1330600000,1997900000,2132300000,11638400000,None,13196500000,3600000,362008984
2021-12-31,USD,22036400000,5325300000,769500000,769500000,2741400000,1531900000,17485100000,12475300000,8238100000,1172200000,None,1172200000,1406700000,691800000,None,282500000,1374700000,11432300000,4787400000,1260700000,437700000,899400000,302800000,8602600000,124000000,4575400000,596600000,3978800000,4275000000,1945600000,2102100000,10604100000,None,12014200000,3700000,379091544
2021-09-30,USD,21081500000,4599100000,842800000,842800000,2273600000,1081500000,16805500000,12269200000,8049900000,1171700000,None,1171700000,1389300000,671100000,671000000,401200000,1367300000,10661100000,3494500000,1041500000,493300000,781400000,734400000,9015500000,136900000,4041700000,47000000,3994700000,734400000,1754600000,2009700000,10420400000,None,11419100000,3800000,379267122
2021-06-30,USD,21473500000,4987600000,1417600000,1417600000,2194400000,930500000,16828000000,12062800000,7776000000,1201300000,None,1201300000,668700000,668700000,668000000,445100000,1383700000,11135500000,4137900000,924800000,881400000,1325700000,830800000,8598600000,150900000,4957700000,494900000,4462800000,830800000,1773800000,1778600000,10338000000,None,11075900000,3800000,379090013
2021-03-31,USD,19902100000,3727300000,692000000,692000000,1860700000,851600000,16868300000,11798900000,7776000000,1180000000,None,1180000000,673900000,673900000,673000000,323000000,1346800000,10277900000,3355000000,762300000,None,513800000,15100000,8457300000,157700000,4968200000,498700000,4469500000,15100000,1664700000,1707200000,9624200000,None,10667700000,3800000,379090013
2020-12-31,USD,19789800000,3521200000,574000000,574000000,1739200000,881100000,17102200000,11854300000,8106800000,1173000000,None,1173000000,673100000,673100000,673000000,326900000,1388800000,10208400000,3146500000,769100000,287600000,504300000,100000,8641600000,294600000,5032300000,454300000,4578000000,5212800000,1521500000,1753500000,9581400000,None,10511000000,3800000,379091544
2020-09-30,USD,18851600000,3748800000,923000000,923000000,1681300000,794600000,15784100000,11318200000,7776000000,1125000000,None,1125000000,683500000,683500000,683000000,349900000,1319100000,10318800000,2865700000,736700000,None,273800000,215500000,9013400000,185000000,4636100000,58300000,4577800000,215500000,1484600000,1731700000,8532800000,None,9721600000,3800000,379090013
2020-06-30,USD,19020600000,4055600000,1073300000,1073300000,1954000000,689600000,15805900000,11153300000,7544100000,1107600000,None,1107600000,713800000,713800000,None,338700000,1325800000,10527600000,3112900000,811900000,None,1079500000,1020300000,8905400000,193900000,4646300000,59200000,4587100000,1020300000,1108300000,1661400000,8493000000,None,9747000000,3800000,379090013
2020-03-31,USD,18975500000,4221100000,1069200000,1069200000,1930900000,723000000,15423100000,10989600000,7527000000,1077000000,None,1077000000,742300000,742300000,None,498000000,1339200000,10589300000,3269000000,691700000,None,1556900000,1510200000,8674500000,180700000,4618600000,46700000,4571900000,1510200000,1227000000,1644400000,8386200000,None,9718700000,3800000,380045964
2019-12-31,USD,19298500000,3718200000,519100000,519100000,2076400000,803900000,15894000000,11690000000,7292000000,1156900000,None,1156900000,763600000,763600000,None,318800000,1454400000,10113000000,2591700000,680400000,266900000,88800000,41600000,7944500000,303400000,4578200000,5500000,4572700000,4608000000,1555600000,1773000000,9185500000,None,9921500000,3800000,378764442
2019-09-30,USD,20440100000,4125300000,641100000,641100000,2294300000,801400000,16776100000,11943400000,7527000000,1731800000,None,1731800000,787500000,787500000,None,388500000,1480700000,10339700000,2724500000,766100000,None,130900000,88000000,7831100000,306900000,4581500000,5400000,4576100000,88000000,1543900000,1720400000,10100400000,None,10880700000,3800000,380045964
2019-06-30,USD,20643900000,4228800000,401900000,401900000,2713900000,711700000,16847900000,11982900000,7372400000,1700000000,None,1700000000,812400000,812400000,None,401300000,1485500000,10170900000,2526900000,808600000,None,137300000,94400000,7870700000,315300000,4590700000,5600000,4585100000,94400000,1138200000,1745700000,10473000000,None,10944200000,3800000,385867417
2019-03-31,USD,20445300000,4146300000,384600000,384600000,2572100000,792000000,16185800000,11942700000,7195700000,1726800000,None,1726800000,823300000,823300000,None,397600000,1460300000,9844100000,2397200000,781600000,None,208300000,167500000,8662100000,317800000,4579400000,5600000,4573800000,167500000,1219100000,1585200000,10601200000,None,11196800000,3800000,385788256
2018-12-31,USD,20119200000,4237000000,847700000,847700000,2270200000,838500000,15780500000,11746500000,6934500000,1707500000,None,1707500000,826600000,826600000,None,280600000,1257800000,9721900000,2483700000,780900000,None,37500000,11500000,8489500000,None,4543500000,26000000,4517500000,4521700000,1465500000,1458700000,10397300000,None,11064700000,3800000,385470085
2018-09-30,USD,20414700000,4178000000,1029900000,1029900000,1957100000,834900000,16165300000,11891600000,6794400000,1753000000,1753000000,1753000000,828500000,828500000,8200000,356100000,1455900000,9973100000,2502400000,839300000,None,86900000,25700000,8799600000,None,4645500000,61200000,4584300000,25700000,1276700000,1540600000,10441600000,None,10971700000,3800000,385470085
2018-06-30,USD,20398000000,4170400000,1035300000,1035300000,2168300000,624900000,15976800000,11559600000,6563800000,1738000000,1738000000,1738000000,837800000,837800000,8500000,341900000,1576500000,10201600000,2594900000,774800000,None,281400000,20200000,8874700000,None,5258900000,261200000,4997700000,20200000,1022200000,1487300000,10196400000,None,10734100000,3800000,385457882
