fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,745058000,837269000,92211000,52719000,705566000,34096000,None,39492000,None,-117409000,23555000,117409000,-24248000,2249000,None,419016000,229730000,10163000,117169000,220287000,172250000,347139000,779499000,219567000
2022-06-30,USD,713680000,810419000,96739000,52180000,669121000,34139000,None,44559000,None,-110121000,853000,110121000,37401000,2806000,None,409437000,237865000,14658000,109994000,223822000,207669000,347986000,647302000,223207000
2022-03-31,USD,708745000,807343000,98598000,52342000,662489000,32699000,None,46256000,None,-106403000,19301000,106403000,22720000,1852000,None,403762000,210350000,10981000,106403000,199971000,232353000,316753000,735034000,199369000
2021-12-31,USD,461971000,681502000,219531000,43710000,286150000,30522000,None,175821000,None,-100739000,2986000,100739000,-39922000,6431000,None,333229000,14169000,10128000,147461000,4467000,10050000,114908000,455758000,4041000
2021-09-30,USD,410606000,489891000,81269000,29662000,358999000,23813000,None,51607000,None,-76156000,2374000,76156000,20617000,1984000,None,198832000,141075000,6079000,80139000,135276000,153286000,217231000,412034000,134996000
2021-06-30,USD,380155000,463298000,84127000,31734000,327762000,21849000,None,52393000,None,-73674000,400000,73674000,0,984000,None,187789000,133704000,9225000,73674000,124768000,113597000,207378000,391078000,124479000
2021-03-31,USD,390789000,442254000,52015000,28499000,367273000,20796000,None,23516000,None,-73075000,804000,73075000,-46473000,550000,None,177985000,102165000,6225000,119548000,369449000,142090000,175240000,348904000,95940000
2020-12-31,USD,418076000,418076000,67641000,27135000,418076000,16674000,None,40506000,None,-78764000,3311000,78764000,0,22667000,None,175041000,122431000,4500000,78764000,418076000,115743000,201195000,371320000,117931000
2020-09-30,USD,257548000,404572000,147024000,25410000,135934000,16514000,None,121614000,None,-76806000,2336000,76806000,0,13736000,None,169084000,27496000,4592000,76806000,145078000,23542000,104302000,268721000,22904000
2020-06-30,USD,381673000,414636000,32963000,26452000,348710000,19063000,None,32963000,None,-77841000,502000,77841000,0,1323000,None,168328000,110662000,2838000,77841000,347195000,97312000,188503000,352157000,107824000
2020-03-31,USD,385399000,414341000,28942000,25606000,356457000,20964000,None,28942000,None,-75925000,1564000,75925000,-9819000,28687000,None,164585000,149590000,2763000,85744000,392200000,121357000,225515000,385718000,146827000
2019-12-31,USD,397529000,397529000,25280000,25253000,397529000,16330000,None,25280000,None,-75073000,1792000,75073000,0,14131000,None,156594000,131033000,1736000,75073000,397529000,125794000,206106000,358492000,129297000
2019-09-30,USD,344284000,374247000,29963000,20354000,314321000,16460000,None,29963000,None,-73410000,327000,73410000,0,1674000,None,149424000,102871000,1822000,73410000,314173000,102047000,176281000,321501000,101049000
2019-06-30,USD,333804000,365450000,31646000,21342000,302158000,18585000,None,31646000,None,-72488000,136000,72488000,0,6891000,None,150426000,96349000,1155000,72488000,307894000,92394000,168837000,315423000,95194000
2019-03-31,USD,334585000,354365000,19780000,21636000,314805000,15108000,None,19780000,None,-70020000,None,70020000,0,7300000,None,137517000,112387000,1445000,70020000,320660000,107243000,182407000,316136000,110942000
2018-12-31,USD,342576000,342576000,36713000,17732000,342576000,34178000,None,36713000,None,-70635000,None,70635000,348476000,None,None,137711000,86679000,1607000,70635000,342576000,76974000,157314000,290309000,85072000
2018-09-30,USD,246445000,338081000,30094000,15806000,216351000,16332000,None,30094000,None,-69342000,None,69342000,338081000,None,None,136967000,100301000,1302000,69342000,215049000,98999000,169643000,304444000,98999000
2018-06-30,USD,236353000,328886000,25905000,16236000,210448000,17954000,None,25905000,None,-66628000,None,66628000,328886000,None,None,133999000,97588000,1208000,66628000,217040000,96380000,164216000,296549000,96380000
2018-03-31,USD,214775000,318295000,44105000,16552000,170670000,15684000,None,44105000,None,-59415000,None,59415000,318295000,None,None,131103000,84386000,1223000,59415000,172647000,83163000,143801000,274700000,83163000
2017-12-31,USD,775949000,866025000,28598000,16652000,747351000,15219000,None,28598000,None,-61478000,None,61478000,256473000,-42426000,None,127033000,64275000,3423000,103904000,767128000,60852000,125753000,251947000,60852000
