fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-11-30,USD,128469000000,17561000000,6813000000,7350000000,None,6197000000,110908000000,14351000000,None,73106000000,11593000000,61513000000,537000000,None,537000000,4014000000,11360000000,148793000000,27106000000,1647000000,18956000000,9746000000,9746000000,105139000000,None,104853000000,9746000000,81173000000,104853000000,5228000000,5673000000,-3776000000,None,-30617000000,28148000000,2695000000
2022-08-31,USD,130309000000,21004000000,10448000000,11220000000,None,5937000000,109305000000,12280000000,None,74128000000,12499000000,61629000000,772000000,None,772000000,3847000000,10832000000,152877000000,34819000000,1461000000,22522000000,16097000000,16097000000,100939000000,None,91577000000,16097000000,75480000000,91577000000,4830000000,5638000000,-5875000000,None,-31134000000,27224000000,2696000000
2022-05-31,USD,109297000000,31633000000,21383000000,21902000000,314000000,5953000000,77664000000,9716000000,9958000000,45251000000,1440000000,43811000000,13362000000,None,519000000,3778000000,9915000000,144092000000,19511000000,1317000000,18220000000,3749000000,75859000000,95554000000,None,0,3749000000,72110000000,75859000000,4144000000,5203000000,-6220000000,None,-31336000000,26808000000,2665000000
2022-02-28,USD,108644000000,31675000000,22682000000,23389000000,None,4588000000,76969000000,8609000000,None,45521000000,1688000000,43833000000,707000000,None,707000000,3698000000,9730000000,133131000000,20833000000,1124000000,17228000000,6248000000,6248000000,96022000000,None,78413000000,6248000000,72165000000,78413000000,3964000000,5227000000,-8696000000,None,-33147000000,26129000000,2668000000
2021-11-30,USD,106897000000,31078000000,17938000000,22838000000,None,4462000000,75819000000,8029000000,None,45723000000,1881000000,43842000000,4900000000,None,4900000000,3778000000,8802000000,132253000000,18881000000,1034000000,17350000000,4998000000,4998000000,97674000000,None,78431000000,4998000000,73433000000,78431000000,3409000000,5342000000,-10101000000,None,-34076000000,25591000000,2671000000
2021-08-31,USD,122924000000,47117000000,23059000000,39310000000,None,4482000000,75807000000,7610000000,None,46043000000,2181000000,43862000000,16251000000,None,16251000000,3325000000,8763000000,140651000000,23071000000,749000000,21568000000,6748000000,6748000000,100983000000,None,82718000000,6748000000,75970000000,82718000000,4093000000,5050000000,-1541000000,None,-25679000000,25534000000,2743000000
2021-05-31,USD,131107000000,55567000000,30098000000,46554000000,142000000,5409000000,75540000000,7049000000,8751000000,46365000000,2430000000,43935000000,33445000000,None,16456000000,3604000000,8490000000,125869000000,24164000000,745000000,18908000000,8250000000,8250000000,100991000000,None,328938000000,8250000000,75995000000,84245000000,4377000000,4787000000,5238000000,None,-20120000000,26533000000,2814000000
2021-02-28,USD,118109000000,43744000000,22321000000,35864000000,None,4637000000,74365000000,6816000000,None,46708000000,2754000000,43954000000,13543000000,None,13543000000,3243000000,7116000000,109209000000,20250000000,812000000,17516000000,5758000000,5758000000,88222000000,None,69299000000,5758000000,63541000000,69299000000,3908000000,4473000000,8900000000,None,-16206000000,26261000000,2895000000
2020-11-30,USD,110014000000,46251000000,28001000000,38593000000,None,4423000000,63763000000,6627000000,None,46938000000,3061000000,43877000000,10592000000,None,10592000000,3235000000,6797000000,102097000000,21347000000,724000000,17436000000,7251000000,7251000000,80051000000,None,70782000000,7251000000,63531000000,70782000000,3890000000,4306000000,7917000000,None,-17095000000,26298000000,2952000000
2020-08-31,USD,113546000000,49939000000,27276000000,42279000000,None,4576000000,63607000000,6401000000,None,47272000000,3405000000,43867000000,15003000000,None,15003000000,3084000000,6782000000,104055000000,18748000000,534000000,21092000000,2997000000,2997000000,84658000000,None,70766000000,2997000000,67769000000,70766000000,3952000000,4199000000,9491000000,None,-15410000000,26238000000,3014000000
