fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,13823764000,3116480000,400741000,400741000,378256000,540867000,10737714000,460397000,None,9774470000,3401143000,6373327000,None,None,None,138867000,312297000,6758564000,1485731000,275824000,34210000,503549000,539820000,5312133000,142842000,3898267000,503549000,3898267000,4438087000,706358000,1231724000,7065200000,None,4834046000,126220000,126220000
2022-06-30,USD,14189707000,2107772000,360860000,360860000,624297000,932131000,12113968000,533645000,None,11014713000,3771221000,7243492000,None,None,None,190484000,324245000,7022552000,1043813000,333711000,50943000,4180000,42767000,6026039000,182990000,4484314000,4180000,4484314000,4527081000,13400000,1311435000,7167155000,None,4756566000,126218000,126218000
2022-03-31,USD,14848467000,2454511000,669755000,669755000,645924000,None,12393956000,547035000,None,11310162000,3942878000,7367284000,None,None,None,197110000,334793000,7662125000,1263051000,376694000,None,None,44887000,6399074000,180105000,4863978000,3729000,4863978000,4908865000,882628000,1354991000,7186342000,None,4585231000,126140000,126140000
2021-12-31,USD,15000554000,2440780000,603320000,618319000,425890000,1023792000,12595555000,485531000,521168000,11479688000,3821847000,6627119000,None,None,14999000,148255000,312887000,7859309000,1213744000,324811000,201073000,4240000,47387000,6702265000,185359000,4979737000,4240000,4979737000,5027124000,419007000,1422549000,7141245000,None,4417174000,126241000,126241000
2021-09-30,USD,14899849000,2250804000,472374000,472374000,645419000,None,12649045000,537710000,None,11581007000,4160736000,7420271000,None,None,None,170207000,321667000,7941264000,1145029000,320435000,None,None,52271000,6796235000,185005000,5099077000,4485000,5099077000,5151348000,820109000,1512153000,6958585000,None,4235831000,126200000,126200000
2021-06-30,USD,8739461000,2259992000,572810000,572810000,513429000,None,152144000,379065000,None,5405604000,1561534000,3844070000,None,None,None,181151000,486306000,4499654000,1122823000,324711000,None,None,29540000,3376831000,189334000,2348523000,4669000,2348523000,2378063000,793443000,838974000,4239807000,None,4116825000,112025000,112025000
2021-03-31,USD,8762725000,2674571000,988234000,988234000,529908000,None,6088154000,371102000,None,5157046000,1473256000,3683790000,None,None,None,177831000,346700000,4760420000,1520510000,339326000,None,None,358435000,3239910000,192604000,2219670000,358435000,2219670000,2770709000,822749000,827636000,4002305000,None,3878721000,112066000,112066000
2020-12-31,USD,7960315000,2238920000,402036000,402036000,514567000,1155109000,5721395000,368304000,449893000,4812807000,1365693000,3447114000,2154000,2154000,None,167208000,333048000,4224823000,1652189000,327325000,238100000,381193000,399253000,2572734000,188402000,1609701000,380948000,1609701000,2008954000,550271000,774531000,3735492000,None,3507262000,112090000,112090000
2020-09-30,USD,6865565000,1675821000,258293000,258293000,486555000,None,5189744000,336442000,426219000,4343752000,1181754000,3161998000,None,None,None,133062000,315653000,3633884000,1244797000,258038000,None,None,360217000,2389087000,175654000,1492633000,360217000,1492633000,1852850000,626542000,720800000,3231681000,None,3134750000,111878000,111878000
2020-07-05,USD,6636816000,1531413000,218536000,218536000,477707000,None,5105403000,322789000,406807000,4295837000,1188464000,3107373000,None,None,None,126371000,291555000,3669353000,1163256000,255137000,None,None,346342000,2506097000,177893000,1624996000,346342000,1624996000,1971338000,908119000,703208000,2967463000,None,2965890000,111501000,111501000
2020-04-05,USD,6384396000,1341826000,195146000,195146000,393164000,None,5042570000,313857000,389409000,4251982000,1200288000,3051694000,None,None,None,127366000,280412000,3624650000,730144000,233227000,None,None,9654000,2894506000,179827000,2010525000,9654000,2010525000,2020179000,496917000,704154000,2759746000,None,2836531000,111306000,111306000
2019-12-31,USD,6538564000,1374379000,191877000,191877000,356937000,725184000,5186768000,318223000,383357000,4394513000,1283286000,3111227000,None,None,None,100381000,284173000,3724740000,762832000,235855000,164261000,46547000,9974000,2976608000,146399000,2074015000,9974000,2064041000,2074015000,526977000,751468000,2813824000,None,2811973000,111140000,110597000
2019-09-30,USD,6489081000,1548405000,392969000,392969000,391820000,646286000,4940676000,298240000,370595000,4187002000,1199461000,2987541000,None,None,None,117330000,280745000,3782284000,1188102000,190261000,26200000,544103000,506650000,2599282000,153216000,1750925000,506650000,1750925000,2257575000,997841000,690041000,2706797000,None,2755165000,111093000,111093000
2019-06-30,USD,6399072000,1337761000,150016000,150016000,414330000,654454000,4873377000,302720000,368101000,4324489000,1282440000,3042049000,None,None,None,118961000,246168000,3692205000,706799000,188051000,None,8205000,8205000,2826195000,164011000,2104466000,8205000,2104466000,2112671000,510543000,716929000,2706867000,None,2704367000,111071000,111071000
2019-03-31,USD,6086497000,1247646000,134252000,134252000,376507000,623927000,4647600000,293142000,355375000,4106658000,1167576000,2939082000,None,None,None,112960000,247800000,3448025000,742268000,219341000,None,13334000,13334000,2542409000,167748000,1848935000,13334000,1848935000,1862269000,509593000,689074000,2638472000,None,2643026000,110891000,110891000
2018-12-31,USD,5975522000,1234634000,163111000,163111000,338347000,632669000,4743335000,318590000,361593000,4152275000,1199667000,2952608000,None,None,3204000,100507000,270023000,3390567000,771631000,220949000,30800000,14856000,14856000,2623036000,None,1891480000,14856000,1876624000,1891480000,550682000,742312000,2584955000,None,2602067000,110597000,110597000
2018-09-30,USD,5862355000,1165495000,149513000,149513000,354244000,551385000,4696860000,317049000,407004000,4144464000,1223775000,2920689000,None,None,3204000,110353000,235347000,3289886000,686752000,180693000,None,20072000,20072000,2610234000,None,1882502000,20072000,1882502000,1902574000,485987000,720632000,2572469000,None,2532060000,111087000,111087000
