fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,24397200000,3991400000,1894500000,1894500000,101000000,729100000,20405800000,83200000,None,19916300000,6243500000,13672800000,None,None,None,138600000,359100000,10539400000,2840400000,None,1137800000,698900000,698900000,7788000000,None,5960600000,698900000,5960600000,6659500000,811600000,373400000,13857800000,17300000,11874800000,1100000,106000000
2022-06-30,USD,25350300000,4992000000,2879100000,2879100000,92500000,733900000,20358300000,77300000,None,19867300000,6300700000,13566600000,None,None,None,154000000,367400000,11623800000,3166100000,None,1202000000,799900000,799900000,8554500000,None,6657100000,799900000,6657100000,7457000000,821800000,392500000,13726500000,17400000,11613500000,1100000,105900000
2022-03-31,USD,25635800000,4485600000,3237500000,3237500000,202700000,865300000,21150200000,98900000,None,20549000000,6454100000,14094900000,None,None,None,160900000,400900000,12083900000,3501800000,None,1231800000,799500000,799500000,8693600000,None,6654800000,799500000,6654800000,7454300000,621200000,451200000,13551900000,17500000,11410400000,1100000,105600000
2021-12-31,USD,23713900000,2421100000,351500000,351500000,69200000,934700000,21513800000,82700000,336200000,20683000000,6509100000,13476300000,None,None,None,136100000,369800000,12150100000,3121800000,None,1205500000,799200000,850600000,9284500000,51400000,7921800000,799200000,7122600000,7921800000,775900000,390100000,11563800000,17600000,9455600000,1100000,105500000
2021-09-30,USD,23728100000,2375200000,352500000,352500000,174400000,851900000,21352900000,105600000,None,20735100000,6745900000,13989200000,None,None,None,136200000,408600000,12385800000,2861100000,None,1066300000,799200000,799200000,9595500000,None,7529900000,799200000,7529900000,8329100000,863600000,468800000,11342300000,17700000,9233200000,1100000,105400000
2021-06-30,USD,23833700000,1796700000,337800000,337800000,212700000,1079500000,22037000000,125300000,None,21366800000,6936800000,14430000000,None,None,None,138700000,440600000,12744500000,2503100000,None,1082100000,502400000,502400000,10312900000,None,8199500000,502400000,8199500000,8701900000,780500000,491300000,11089200000,17800000,9003100000,1100000,105300000
2021-03-31,USD,23871100000,1739400000,331000000,331000000,206000000,1060000000,22131700000,134600000,None,21472100000,7066800000,14405300000,None,None,None,129200000,422700000,13105400000,2462900000,None,1099800000,502100000,502100000,10718900000,None,8571800000,502100000,8571800000,9073900000,746500000,499100000,10765700000,17900000,8776000000,1100000,105000000
2020-12-31,USD,24024800000,1752300000,308300000,308300000,165100000,1104700000,22537500000,127300000,317800000,21134200000,7168200000,13966000000,None,None,None,114300000,386200000,13545000000,2444400000,177800000,1851100000,502000000,5700000,11362900000,65100000,9560800000,499400000,9061400000,9566500000,637300000,443600000,10479800000,18000000,8546200000,1100000,104900000
2020-09-30,USD,23652000000,1706200000,302100000,302100000,214900000,1023300000,21945800000,146600000,None,21281100000,7122500000,14158600000,None,None,None,122800000,423000000,13491100000,2339900000,None,902300000,602800000,602800000,11185400000,None,9101200000,602800000,9101200000,9704000000,695900000,486100000,10160900000,18100000,8349400000,1100000,104700000
2020-06-30,USD,19142300000,3179200000,1870800000,1870800000,216600000,963900000,15963100000,129600000,None,15358400000,4511800000,10846600000,None,None,None,104200000,382500000,9262600000,2498600000,None,860000000,602600000,602600000,6795700000,None,5263800000,602600000,5263800000,5866400000,882300000,429900000,9879700000,18200000,8168700000,1100000,104500000
2020-03-31,USD,18137800000,2273400000,999800000,999800000,206200000,937500000,15864400000,133400000,None,15255500000,4523000000,10732500000,None,None,None,110800000,380500000,8546500000,2366100000,None,860100000,602400000,602400000,6213000000,None,4674200000,602400000,4674200000,5276600000,755400000,425100000,9591300000,18200000,8003100000,1100000,104300000
2019-12-31,USD,18108900000,1999500000,709700000,709700000,198600000,975100000,16376300000,139900000,334800000,15015200000,4667700000,10387300000,None,None,None,97600000,390800000,8617000000,2397400000,162000000,1555500000,659000000,602200000,6472800000,56800000,5275300000,602200000,4673100000,5275300000,770000000,438400000,9491900000,18300000,7818000000,1100000,104100000
2019-09-30,USD,17819100000,1619400000,323000000,323000000,205000000,895400000,16476600000,142600000,None,15477500000,4730800000,10746700000,None,None,None,101500000,393800000,9247800000,1500900000,None,774600000,59300000,2900000,6905800000,None,6195100000,2900000,6195100000,6198000000,595500000,437700000,8571300000,18300000,7000300000,1100000,104000000
