fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-10-29,USD,450878000,4568291000,4117413000,3424046000,-242489000,693367000,None,693367000,None,2802000,23737000,20935000,4565489000,None,None,101384000,450878000,108842000,20935000,342036000,342036000,471813000,573197000,342036000
2022-07-30,USD,505744000,4572342000,4066598000,3399535000,-161319000,667063000,None,667063000,None,-10667000,9689000,20356000,4583009000,None,None,97073000,505744000,121227000,20356000,384517000,384517000,526100000,623173000,384517000
2022-04-30,USD,449462000,4315404000,3865942000,3196446000,-220034000,669496000,None,669496000,None,-17696000,1195000,18891000,4333100000,None,None,92108000,449462000,111017000,18891000,338445000,338445000,468353000,560461000,338445000
2022-01-29,USD,473318000,5002821000,4529503000,3773636000,-282549000,755867000,None,755867000,None,-17828000,182000,18010000,5020649000,None,None,98525000,473318000,106496000,18010000,366822000,366822000,491328000,589877000,366822000
2021-10-30,USD,504032000,4555797000,4051765000,3326004000,-221729000,725761000,None,725761000,None,-18744000,192000,18936000,4574541000,None,None,88045000,504032000,119002000,18936000,385030000,385030000,522968000,611013000,385030000
2021-07-31,USD,657608000,4786267000,4128659000,3410871000,-60180000,717788000,None,717788000,None,-18707000,199000,18906000,4804974000,None,None,86584000,657608000,163350000,18906000,494258000,494258000,676514000,763098000,494258000
2021-05-01,USD,623582000,4497031000,3873449000,3198396000,-51471000,675053000,None,675053000,None,-19049000,236000,19285000,4516080000,None,None,87510000,623582000,147103000,19285000,476479000,476479000,642867000,730377000,476479000
2021-01-30,USD,382851000,4230519000,3847668000,3157044000,-307773000,690624000,None,690624000,None,-19152000,179000,19331000,4249671000,None,None,96052000,382851000,144871000,19515000,237980000,237980000,402182000,498283000,237980000
2020-10-31,USD,136493000,3725769000,3589276000,2711419000,-741364000,877857000,None,877857000,None,-28740000,330000,29070000,3754509000,None,None,88567000,136493000,5296000,29070000,131197000,131197000,165563000,254130000,131197000
2020-08-01,USD,56242000,2655857000,2599615000,2080120000,-463253000,519495000,None,519495000,None,-28855000,757000,29612000,2684712000,None,None,89028000,56242000,34195000,29612000,22047000,22047000,85854000,174882000,22047000
2020-05-02,USD,-469289000,1836007000,2305296000,1889991000,-884594000,415305000,None,415305000,None,-6666000,3336000,10002000,1842673000,None,None,90598000,-469289000,-163447000,10002000,-305842000,-305842000,-459287000,-368689000,-305842000
2020-02-01,USD,590616000,4416732000,3826116000,3224237000,-11263000,601879000,None,601879000,None,3287000,5457000,2170000,4413445000,None,None,95803000,590616000,134483000,2170000,456133000,456133000,592786000,688622000,456133000
2019-11-02,USD,482482000,3853519000,3371037000,2766432000,-122123000,604605000,None,604605000,None,4402000,6716000,2314000,3849117000,None,None,88191000,482482000,111550000,2314000,370932000,370932000,484796000,572987000,370932000
2019-08-03,USD,548831000,3984651000,3435820000,2843850000,-43139000,591970000,None,591970000,None,4782000,7174000,2392000,3979869000,None,None,84141000,548831000,136110000,2392000,412721000,412721000,551223000,635364000,412721000
2019-05-04,USD,542359000,3802277000,3259918000,2701668000,-15891000,558250000,None,558250000,None,5635000,8466000,2831000,3796642000,None,None,82757000,542359000,121217000,2831000,421142000,421142000,545190000,627947000,421142000
2019-02-02,USD,546988000,4112701000,3565713000,2989744000,-28981000,575969000,None,575969000,None,5313000,8844000,3531000,4107388000,None,None,84206000,546988000,105295000,3531000,441693000,441693000,550519000,634728000,441693000
2018-11-03,USD,443653000,3552561000,3108908000,2547331000,-117924000,561577000,None,561577000,None,2953000,7132000,4179000,3549608000,None,None,83748000,443653000,105545000,4179000,338108000,338104000,447832000,531580000,338108000
2018-08-04,USD,517755000,3739319000,3221564000,2666983000,-36826000,554581000,None,554581000,None,1393000,5638000,4245000,3737926000,None,None,82606000,517755000,128351000,4245000,389404000,389401000,522000000,604606000,389404000
2018-05-05,USD,542480000,3589122000,3046642000,2522219000,18057000,524423000,None,524423000,None,503000,4952000,4449000,3588619000,None,None,79797000,542480000,124228000,4449000,418252000,418232000,546929000,626726000,418252000
2018-02-03,USD,591532000,4067420000,3475888000,2922582000,38226000,553306000,None,553306000,None,-386000,4190000,4576000,4067806000,None,None,85908000,591532000,140785000,4576000,450747000,450734000,596108000,682006000,450747000
