fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,4166000000,6354000000,2188000000,932000000,2633000000,1597000000,None,319000000,None,-315000000,315000000,315000000,6669000000,124000000,563000000,563000000,2442000000,547000000,315000000,1895000000,1904000000,2757000000,3320000000,1895000000
2022-06-30,USD,3942000000,5953000000,2011000000,940000000,2495000000,1423000000,None,233000000,None,-316000000,316000000,316000000,6269000000,163000000,559000000,559000000,2342000000,507000000,316000000,1835000000,1872000000,2658000000,3217000000,1835000000
2022-03-31,USD,3758000000,5553000000,1795000000,714000000,2377000000,1438000000,None,337000000,None,-307000000,307000000,307000000,5860000000,47000000,555000000,555000000,2117000000,487000000,307000000,1630000000,1666000000,2424000000,2979000000,1630000000
2021-12-31,USD,842000000,4674000000,3832000000,2697000000,2440000000,1300000000,None,-8026000000,None,-295000000,295000000,295000000,6905000000,83000000,556000000,556000000,2228000000,517000000,295000000,1711000000,2330000000,2523000000,3079000000,1711000000
2021-09-30,USD,3990000000,5566000000,1576000000,544000000,2432000000,1257000000,None,3134000000,None,-290000000,2000000,290000000,5166000000,38000000,553000000,553000000,2180000000,507000000,290000000,1673000000,1691000000,2470000000,3023000000,1673000000
2021-06-30,USD,3992000000,5504000000,1512000000,497000000,2473000000,1222000000,None,3031000000,None,-282000000,1000000,282000000,5182000000,125000000,550000000,550000000,2316000000,518000000,282000000,1798000000,1841000000,2598000000,3148000000,1798000000
2021-03-31,USD,3570000000,5001000000,1431000000,411000000,1993000000,1346000000,None,3008000000,None,-290000000,1000000,290000000,4649000000,51000000,549000000,549000000,1754000000,413000000,290000000,1341000000,1340000000,2044000000,2593000000,1341000000
2020-12-31,USD,5141000000,5141000000,3634000000,2332000000,2006000000,9142000000,None,3135000000,None,-279000000,279000000,279000000,-13448000000,66000000,557000000,16000000,1793000000,413000000,279000000,2006000000,1138000000,2072000000,2088000000,1380000000
2020-09-30,USD,3606000000,4919000000,1313000000,301000000,2031000000,1307000000,None,2888000000,None,-295000000,293000000,295000000,4596000000,37000000,555000000,16000000,1773000000,410000000,295000000,1363000000,1384000000,2068000000,2084000000,1363000000
2020-06-30,USD,3086000000,4244000000,1158000000,247000000,1654000000,1140000000,None,2590000000,None,-289000000,3000000,289000000,4041000000,131000000,551000000,17000000,1496000000,364000000,289000000,1132000000,1089000000,1785000000,1802000000,1132000000
2020-03-31,USD,3727000000,5229000000,1502000000,434000000,2143000000,1357000000,None,3086000000,None,-278000000,6000000,278000000,4880000000,53000000,547000000,17000000,1918000000,444000000,278000000,1474000000,1501000000,2196000000,2213000000,1474000000
2019-12-31,USD,5212000000,5212000000,3894000000,2812000000,2100000000,9906000000,None,3112000000,None,-278000000,38000000,278000000,-2000000,56000000,559000000,18000000,1878000000,475000000,2000000,2100000000,1352000000,2156000000,2174000000,1403000000
2019-09-30,USD,3872000000,5516000000,1644000000,504000000,2234000000,1411000000,None,3282000000,None,-266000000,10000000,266000000,5146000000,53000000,557000000,18000000,2021000000,466000000,266000000,1555000000,1548000000,2287000000,2305000000,1555000000
2019-06-30,USD,3881000000,5596000000,1715000000,560000000,2260000000,1392000000,None,3336000000,None,-259000000,6000000,259000000,5236000000,57000000,551000000,18000000,2058000000,488000000,259000000,1570000000,1650000000,2317000000,2335000000,1570000000
2019-03-31,USD,3656000000,5384000000,1728000000,531000000,1960000000,1510000000,None,3424000000,None,-247000000,9000000,247000000,5010000000,77000000,549000000,18000000,1790000000,399000000,247000000,1391000000,1428000000,2037000000,2055000000,1391000000
2018-12-31,USD,5757000000,5757000000,4443000000,3140000000,2210000000,10655000000,None,3547000000,None,-240000000,None,240000000,0,46000000,555000000,555000000,2016000000,462000000,240000000,2210000000,2210000000,2256000000,2811000000,1554000000
2018-09-30,USD,4010000000,5928000000,1918000000,659000000,2269000000,1549000000,None,3659000000,None,-241000000,None,241000000,5558000000,48000000,547000000,547000000,2076000000,483000000,241000000,1593000000,1629000000,2317000000,2864000000,1593000000
2018-06-30,USD,3788000000,5672000000,1884000000,643000000,2099000000,1241000000,None,3573000000,None,-203000000,None,203000000,5317000000,42000000,546000000,546000000,1938000000,429000000,203000000,1509000000,1503000000,2141000000,2687000000,1509000000
2018-03-31,USD,3613000000,5475000000,1862000000,589000000,1939000000,1273000000,None,3536000000,None,-186000000,None,186000000,-85000000,-42000000,543000000,543000000,1711000000,401000000,271000000,1310000000,1329000000,1897000000,2440000000,1310000000
2017-12-31,USD,5450000000,5450000000,4281000000,3047000000,2247000000,1232000000,None,3203000000,None,-188000000,None,188000000,None,33000000,532000000,532000000,2092000000,-5186000000,188000000,2251000000,2251000000,2280000000,2812000000,7278000000
