fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,-172409000,3045874000,3218283000,1498177000,-90819000,1251320000,None,1720106000,823000,-34726000,33903000,34726000,3080600000,-9280000,None,63869000,-134002000,-15570000,34726000,-118432000,-87721000,-99276000,-35407000,-118432000
2022-06-30,USD,-130136000,2229050000,2359186000,1042982000,63362000,1155251000,None,1317103000,1283000,-32545000,1283000,32545000,2261595000,-94714000,None,66754000,-62614000,-6654000,32545000,-55960000,-4257000,-30069000,36685000,-55960000
2022-03-31,USD,1465872000,2824664000,1358792000,1358792000,192392000,1273480000,None,1273480000,None,-30930000,740000,31670000,None,9659000,None,67283000,171520000,90678000,None,80443000,91720000,203190000,270473000,80842000
2021-12-31,USD,2031780000,3624384000,1592604000,1592604000,678442000,1353338000,None,1353338000,None,-33388000,33388000,33994000,None,-95000,None,65099000,641314000,123513000,None,517801000,521178000,675308000,740407000,517801000
2021-09-30,USD,521100000,3162347000,2641247000,1479446000,558486000,1160303000,None,1161801000,1518000,-35888000,34370000,35888000,3198235000,7549000,None,66503000,531665000,67612000,35888000,464053000,489105000,567553000,634056000,464053000
2021-06-30,USD,96095000,2159640000,2063545000,955551000,202884000,1036122000,None,1109844000,2142000,-34917000,32775000,34917000,2194557000,9041000,None,68050000,349423000,25178000,34917000,153972000,367359000,384340000,452390000,324245000
2021-03-31,USD,-89851000,2445317000,2535168000,1236399000,122493000,1203419000,None,1296948000,2127000,-37971000,35844000,37971000,2580972000,2400000,None,64501000,116826000,27306000,37971000,61743000,76483000,154797000,219298000,89520000
2020-12-31,USD,380103000,2972141000,2592038000,1345024000,411999000,1214518000,None,1247014000,2539000,-34315000,31776000,34315000,2972141000,6484000,None,65727000,406288000,59048000,34315000,327659000,310935000,440603000,506330000,347240000
2020-09-30,USD,293060000,2607024000,2313964000,1282406000,319948000,1005970000,None,1031558000,3176000,-30931000,30931000,34107000,2607024000,4644000,None,75827000,307137000,50415000,34107000,243246000,194605000,319948000,395775000,256722000
2020-06-30,USD,-328485000,1076293000,1404778000,506951000,-246809000,816151000,None,905972000,1313000,-27949000,1313000,29262000,1076293000,-38187000,None,63026000,-320816000,-35203000,29262000,-277742000,-252196000,-246809000,-183783000,-285613000
2020-03-31,USD,1779121000,2102421000,323300000,986266000,-256761000,1049693000,None,323300000,2266000,-71368000,19867000,91235000,68200000,-50289000,None,72972000,-390381000,93395000,-68200000,-483086000,-519362000,-256761000,-226174000,-483776000
2019-12-31,USD,546536000,3155723000,2837957000,1351653000,540039000,1264031000,None,1337494000,5489000,-253000,16814000,253000,3384746000,-22144000,None,69488000,543979000,78976000,22303000,421582000,500356000,540039000,613720000,465003000
2019-09-30,USD,571013000,3179758000,2821985000,1456317000,548562000,1174879000,None,1224678000,4983000,-270000,15827000,270000,3393268000,-1771000,None,62923000,554029000,-94972000,20810000,625377000,585662000,548562000,617222000,649001000
2019-06-30,USD,-30958000,2050654000,2302153000,896284000,95965000,1058405000,None,1256900000,7129000,-284000,15583000,284000,2271479000,5554000,None,62236000,69884000,20663000,22127000,65273000,70478000,95965000,132404000,49221000
2019-03-31,USD,3125169000,2357409000,87800000,640885000,126360000,1030488000,None,87800000,11855000,-12181000,11855000,24036000,3197322000,-6717000,None,63680000,133710000,4906000,24428000,75621000,113294000,126360000,190040000,128804000
2018-12-31,USD,583705000,2983297000,3356454000,1464761000,476543000,1242131000,None,1459982000,4550000,None,None,28397000,3940159000,-1027000,None,62790000,548962000,85453000,28336000,374833000,439860000,476543000,539333000,463509000
2018-09-30,USD,649469000,3001760000,3257917000,1545391000,510736000,1129013000,None,1307316000,2845000,None,None,28358000,3907386000,-31970000,None,76363000,577192000,70071000,28305000,390563000,526283000,510736000,587099000,507121000
2018-06-30,USD,147250000,1924421000,2645899000,1005289000,76543000,1018747000,None,1258728000,3393000,None,None,27277000,2793149000,-19425000,None,52896000,167815000,7457000,26999000,29409000,142310000,76543000,129439000,160358000
2018-03-31,USD,222706000,2181546000,2822740000,1008641000,147552000,1025353000,None,1444880000,3228000,None,None,24393000,3034181000,6346000,None,59594000,255134000,2341000,24393000,128975000,314903000,147552000,207146000,252793000
2017-12-31,USD,3649283000,3649283000,3164664000,1769819000,484619000,1394845000,None,1394845000,4423000,-25640000,None,26971000,3649283000,-1902000,None,82913000,442879000,533148000,26971000,-72979000,-101513000,484619000,567532000,-90269000
