fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,508000000,933000000,2027000000,439000000,-1218000000,401000000,41000000,1629000000,None,-14000000,None,14000000,947000000,-9000000,31000000,51000000,-1241000000,-164000000,14000000,-1077000000,-1202000000,-1227000000,-1176000000,-1077000000
2022-06-30,USD,581000000,1008000000,859000000,442000000,119000000,410000000,45000000,462000000,None,-15000000,None,15000000,1023000000,-13000000,30000000,53000000,91000000,18000000,15000000,73000000,-17000000,106000000,159000000,73000000
2022-03-31,USD,521000000,957000000,882000000,448000000,97000000,376000000,45000000,479000000,None,-12000000,None,12000000,969000000,2000000,29000000,55000000,87000000,18000000,12000000,69000000,32000000,99000000,154000000,69000000
2021-12-31,USD,604000000,1137000000,930000000,499000000,172000000,374000000,59000000,494000000,None,-12000000,None,12000000,1094000000,-4000000,30000000,55000000,138000000,37000000,None,102000000,92000000,154000000,209000000,119000000
2021-09-30,USD,569000000,1056000000,875000000,471000000,132000000,395000000,39000000,432000000,None,-13000000,None,14000000,1069000000,-5000000,30000000,55000000,138000000,29000000,13000000,103000000,28000000,151000000,206000000,84000000
2021-06-30,USD,595000000,1051000000,872000000,467000000,154000000,393000000,43000000,443000000,None,-16000000,-1000000,15000000,1067000000,-8000000,32000000,56000000,134000000,35000000,16000000,99000000,139000000,150000000,206000000,96000000
2021-03-31,USD,579000000,1026000000,892000000,447000000,150000000,386000000,40000000,468000000,None,-14000000,None,14000000,1040000000,9000000,32000000,56000000,149000000,33000000,14000000,117000000,22000000,163000000,219000000,112000000
2020-12-31,USD,567000000,1079500000,1115900000,511000000,141000000,373000000,38000000,720700000,-800000,-14500000,1500000,16000000,1094000000,3000000,38000000,49400000,123000000,24000000,14500000,98600000,212000000,139000000,188400000,105000000
2020-09-30,USD,442000000,880300000,815300000,453000000,82000000,315000000,27000000,362800000,400000,-14500000,-500000,14000000,894800000,-1000000,39000000,48800000,66000000,13000000,14500000,54200000,121000000,80000000,128800000,53000000
2020-06-30,USD,176000000,478300000,594900000,315000000,-104000000,261000000,18000000,280400000,1000000,-12300000,-1300000,11000000,490600000,-5000000,33000000,46600000,-119000000,-24000000,12300000,-95900000,-28000000,-108000000,-61400000,-95000000
2020-03-31,USD,468000000,867400000,1085000000,406000000,-125000000,359000000,34000000,678700000,400000,-6700000,300000,7000000,874100000,2000000,32000000,47200000,-130000000,10000000,6700000,-139900000,-252000000,-123000000,-75800000,-140000000
2019-12-31,USD,610600000,1111500000,1021700000,500800000,136600000,317900000,131300000,640800000,400000,-6400000,600000,7000000,1111500000,7400000,31400000,46800000,137000000,34700000,6400000,136600000,111800000,144000000,190800000,102300000
2019-09-30,USD,514000000,955500000,852700000,448100000,109500000,399300000,131300000,404600000,700000,-6600000,700000,6600000,962100000,2900000,31200000,100000,106500000,21500000,6600000,85000000,-21500000,113100000,113200000,85000000
2019-06-30,USD,540800000,1001400000,942000000,468600000,67500000,430900000,131300000,473400000,200000,-8000000,200000,8000000,1009400000,-12100000,35500000,100000,47600000,11200000,8000000,36400000,71200000,55600000,55700000,36400000
2019-03-31,USD,499700000,946600000,947100000,446500000,47300000,431900000,131300000,491800000,1100000,-8400000,3800000,8400000,955000000,13800000,34900000,48200000,53800000,14600000,8400000,39200000,-19500000,62200000,110400000,39200000
2018-12-31,USD,524800000,1059700000,1026100000,534400000,81800000,433100000,160500000,653600000,500000,-9400000,-300000,9100000,1059700000,4600000,29600000,48200000,78200000,76400000,9400000,81800000,-10700000,87300000,135500000,1800000
2018-09-30,USD,476100000,918700000,882900000,452300000,45500000,418500000,160500000,430600000,600000,-9700000,None,9700000,928400000,-4700000,34600000,49600000,32200000,4200000,9700000,27500000,2300000,41900000,91500000,28000000
2018-06-30,USD,552800000,1032500000,1110400000,489300000,-1154100000,432200000,160500000,621100000,400000,-9600000,None,9600000,1042100000,1000000,35500000,50200000,-1163300000,-41300000,9600000,-1121000000,-1281800000,-1153700000,-1103500000,-1122000000
2018-03-31,USD,514100000,947000000,937300000,442000000,68700000,435200000,160500000,495800000,600000,-8600000,None,8600000,-500000,34100000,33300000,49900000,94900000,13700000,8600000,81100000,91200000,103500000,153400000,81200000
2017-12-31,USD,593300000,1091000000,558000000,497700000,-706400000,421900000,151700000,558000000,700000,-9600000,None,9600000,1091000000,2400000,33400000,48600000,-713100000,-62700000,9600000,-706400000,-622800000,-703500000,-654900000,-650400000
