fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,892000000,3627000000,2735000000,2735000000,781000000,51000000,None,100000000,100000000,-276000000,168000000,276000000,8000000,4000000,None,266000000,566000000,145000000,277000000,421000000,520000000,842000000,1108000000,421000000
2022-06-30,USD,563000000,3078000000,2515000000,2515000000,6000000,46000000,None,530000000,95000000,-279000000,95000000,279000000,-52000000,70000000,None,264000000,-198000000,-19000000,280000000,-179000000,-70000000,81000000,345000000,-179000000
2022-03-31,USD,530000000,2852000000,2322000000,2322000000,191000000,52000000,None,326000000,75000000,-258000000,75000000,258000000,-24000000,6000000,None,270000000,175000000,60000000,264000000,115000000,512000000,433000000,703000000,115000000
2021-12-31,USD,559000000,2770000000,2211000000,2211000000,559000000,36000000,None,2293000000,86000000,-242000000,158000000,242000000,-1803000000,136000000,None,261000000,-840000000,-208000000,279000000,-632000000,-487000000,-598000000,-337000000,-632000000
2021-09-30,USD,760000000,3036000000,2276000000,2276000000,680000000,39000000,None,46000000,71000000,-242000000,71000000,242000000,29000000,48000000,None,257000000,469000000,126000000,264000000,343000000,329000000,711000000,968000000,343000000
2021-06-30,USD,728000000,2700000000,1972000000,1972000000,-193000000,45000000,None,853000000,73000000,-237000000,166000000,237000000,36000000,183000000,None,263000000,-31000000,-59000000,255000000,24000000,-81000000,206000000,469000000,28000000
2021-03-31,USD,664000000,2635000000,1971000000,1971000000,-131000000,46000000,None,784000000,68000000,-190000000,68000000,190000000,35000000,43000000,None,275000000,-140000000,8000000,191000000,-148000000,18000000,50000000,325000000,-148000000
2020-12-31,USD,906000000,2560000000,1654000000,1654000000,906000000,46000000,None,455000000,70000000,-297000000,70000000,297000000,-27000000,15000000,None,265000000,479000000,161000000,388000000,318000000,545000000,776000000,1041000000,318000000
2020-09-30,USD,756000000,2545000000,1789000000,1789000000,-154000000,41000000,None,980000000,64000000,-290000000,224000000,290000000,-150000000,6000000,None,264000000,-480000000,-147000000,344000000,-333000000,-154000000,-190000000,74000000,-333000000
2020-06-30,USD,524000000,2217000000,1693000000,1693000000,481000000,40000000,None,67000000,64000000,-218000000,64000000,218000000,-85000000,-149000000,None,271000000,30000000,113000000,258000000,-86000000,-84000000,248000000,519000000,-83000000
2020-03-31,USD,507000000,2338000000,1831000000,1831000000,189000000,38000000,None,314000000,70000000,-233000000,70000000,233000000,32000000,1000000,None,268000000,233000000,89000000,234000000,144000000,-318000000,466000000,734000000,144000000
2019-12-31,USD,560000000,2431000000,1871000000,1871000000,560000000,60000000,None,551000000,76000000,-262000000,76000000,262000000,-22000000,-218000000,None,271000000,-28000000,50000000,305000000,-78000000,28000000,234000000,505000000,-78000000
2019-09-30,USD,701000000,2625000000,1924000000,1924000000,651000000,41000000,None,25000000,81000000,-250000000,81000000,250000000,-136000000,78000000,None,262000000,340000000,130000000,315000000,210000000,22000000,590000000,852000000,210000000
2019-06-30,USD,502000000,2483000000,1981000000,1981000000,322000000,49000000,None,169000000,82000000,-273000000,82000000,273000000,-32000000,18000000,None,266000000,74000000,57000000,324000000,16000000,-23000000,347000000,613000000,17000000
2019-03-31,USD,586000000,2650000000,2064000000,2064000000,275000000,46000000,None,299000000,79000000,-265000000,190000000,265000000,-18000000,30000000,None,246000000,269000000,115000000,275000000,154000000,122000000,534000000,780000000,154000000
2018-12-31,USD,646000000,2622000000,1976000000,1976000000,646000000,58000000,None,-128000000,79000000,-257000000,None,257000000,128000000,39000000,None,233000000,327000000,199000000,258000000,102000000,77000000,584000000,817000000,128000000
2018-09-30,USD,671000000,2837000000,2166000000,2166000000,525000000,43000000,None,138000000,79000000,-255000000,None,255000000,-27000000,58000000,None,258000000,247000000,146000000,266000000,102000000,69000000,502000000,760000000,101000000
2018-06-30,USD,600000000,2537000000,1937000000,1937000000,469000000,35000000,None,38000000,76000000,-263000000,None,263000000,53000000,143000000,None,258000000,422000000,132000000,269000000,96000000,110000000,685000000,943000000,290000000
2018-03-31,USD,656000000,2740000000,2084000000,2084000000,335000000,56000000,None,312000000,76000000,-281000000,None,281000000,599000000,686000000,None,254000000,915000000,231000000,451000000,685000000,733000000,1196000000,1450000000,684000000
2017-12-31,USD,645000000,2643000000,1998000000,1998000000,643000000,60000000,None,657000000,-47000000,-136000000,174000000,310000000,2000000,-6000000,None,285000000,-598000000,744000000,160000000,-683000000,-552000000,-288000000,-3000000,-1342000000
