fiscalDateEnding,reportedCurrency,grossProfit,totalRevenue,costOfRevenue,costofGoodsAndServicesSold,operatingIncome,sellingGeneralAndAdministrative,researchAndDevelopment,operatingExpenses,investmentIncomeNet,netInterestIncome,interestIncome,interestExpense,nonInterestIncome,otherNonOperatingIncome,depreciation,depreciationAndAmortization,incomeBeforeTax,incomeTaxExpense,interestAndDebtExpense,netIncomeFromContinuingOperations,comprehensiveIncomeNetOfTax,ebit,ebitda,netIncome
2022-09-30,USD,695000000,1052000000,357000000,157000000,309000000,31000000,None,372000000,None,-83000000,None,83000000,1135000000,0,None,169000000,241000000,14000000,83000000,227000000,227000000,324000000,493000000,227000000
2022-06-30,USD,536000000,865000000,329000000,133000000,212000000,30000000,None,362000000,None,-78000000,None,78000000,943000000,0,None,166000000,163000000,4000000,78000000,159000000,159000000,241000000,407000000,159000000
2022-03-31,USD,659000000,994000000,335000000,138000000,248000000,31000000,None,350000000,None,-74000000,None,74000000,1068000000,0,None,166000000,200000000,8000000,74000000,192000000,192000000,274000000,440000000,192000000
2021-12-31,USD,804000000,1133000000,329000000,134000000,132000000,31000000,None,394000000,None,-71000000,None,71000000,927000000,2000000,None,163000000,87000000,-8000000,71000000,95000000,96000000,158000000,321000000,95000000
2021-09-30,USD,613000000,956000000,343000000,148000000,289000000,30000000,None,366000000,None,-68000000,None,68000000,1024000000,-3000000,None,165000000,238000000,-21000000,68000000,259000000,259000000,306000000,471000000,259000000
2021-06-30,USD,434000000,748000000,314000000,121000000,176000000,28000000,None,353000000,None,-69000000,None,69000000,817000000,-2000000,None,165000000,129000000,-17000000,69000000,146000000,146000000,198000000,363000000,146000000
2021-03-31,USD,505000000,832000000,327000000,134000000,198000000,29000000,None,339000000,None,-69000000,None,69000000,901000000,-2000000,None,164000000,146000000,-28000000,69000000,174000000,174000000,215000000,379000000,174000000
2020-12-31,USD,706000000,1024000000,318000000,123000000,112000000,32000000,None,400000000,None,-68000000,None,68000000,817000000,-7000000,None,161000000,56000000,-10000000,68000000,66000000,66000000,124000000,285000000,66000000
2020-09-30,USD,532000000,852000000,320000000,132000000,272000000,32000000,None,331000000,None,-68000000,None,68000000,920000000,-3000000,None,156000000,229000000,-20000000,68000000,249000000,249000000,297000000,453000000,249000000
2020-06-30,USD,440000000,693500000,253500000,72000000,168000000,29800000,None,341700000,None,-69600000,400000,70000000,763100000,-3000000,None,152000000,128000000,-8000000,69600000,136900000,134300000,198000000,350000000,136000000
2020-03-31,USD,546300000,846800000,300500000,122000000,188000000,30300000,None,340500000,None,-68900000,100000,69000000,915700000,-1000000,None,146000000,154000000,-19000000,68900000,172600000,173300000,223000000,369000000,173000000
2019-12-31,USD,880100000,880100000,300600000,118000000,160900000,36900000,None,367100000,None,-69100000,-100000,69000000,880100000,-4000000,None,143000000,133000000,20000000,69100000,103800000,160900000,202000000,345000000,113000000
2019-09-30,USD,615700000,990200000,306200000,127000000,290000000,34900000,None,352400000,None,-68300000,-300000,68000000,990200000,-4000000,None,144000000,252000000,23000000,68300000,228600000,228600000,320000000,464000000,229000000
2019-06-30,USD,434700000,790200000,286300000,112400000,149800000,31000000,None,346200000,None,-69200000,38200000,69200000,790200000,-3300000,None,142900000,108300000,11200000,69200000,97100000,95700000,177500000,320400000,97100000
2019-03-31,USD,407000000,987200000,513900000,123000000,176800000,34000000,None,353700000,None,-66300000,30000000,66300000,987200000,-4000000,None,136900000,142800000,15100000,66300000,127700000,128400000,209100000,346000000,127700000
2018-12-31,USD,873500000,873500000,503400000,120800000,121400000,30700000,None,344400000,None,-63200000,None,63200000,873500000,-2000000,None,130600000,93400000,5900000,63200000,85300000,121400000,156600000,287200000,87500000
2018-09-30,USD,348300000,928600000,517000000,129100000,256100000,31100000,None,308500000,None,-63300000,None,63300000,928600000,-1600000,None,129000000,219800000,11700000,63300000,205500000,208100000,283100000,412100000,208100000
2018-06-30,USD,331600000,816100000,484500000,119700000,151200000,29300000,None,314300000,None,-61300000,None,61300000,816100000,-2000000,None,127000000,116500000,13600000,61300000,100400000,102900000,177800000,304800000,102900000
2018-03-31,USD,436000000,916300000,480300000,126400000,165700000,30300000,None,313100000,None,-59200000,None,59200000,916300000,-2400000,None,120400000,140300000,16800000,59200000,120900000,123500000,199500000,319900000,123500000
2017-12-31,USD,856100000,856100000,502600000,-497100000,134000000,56500000,None,365500000,None,-56600000,None,56600000,856100000,-4200000,None,119100000,98100000,1800000,56600000,93800000,129700000,154700000,273800000,96300000
