fiscalDateEnding,reportedCurrency,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments
2020-10-31,USD,134708000000,28591000000,100339000000,34369000000,7631000000,5135000000,None,None,7115000000,-66000000,28591000000,1853000000,5778000000,None,516000000,1914000000,1337000000,-516000000,None,None,None,1914000000,1853000000,None,5201000000,5135000000,None
2020-07-31,USD,137742000000,131683000000,102689000000,35053000000,12075000000,6476000000,None,None,8646000000,5887000000,27094000000,3222000000,6059000000,None,658000000,2207000000,2587000000,-635000000,None,None,None,2207000000,3222000000,None,6439000000,6476000000,None
2020-04-30,USD,134622000000,27372000000,102026000000,32596000000,5945000000,3990000000,None,None,5396000000,84000000,27372000000,721000000,5224000000,None,549000000,1322000000,43000000,-549000000,None,None,None,1322000000,721000000,None,4074000000,3990000000,None
2020-01-31,USD,141671000000,28601000000,107748000000,33923000000,6284000000,4141000000,None,None,5673000000,153000000,28601000000,962000000,5322000000,None,611000000,1379000000,41000000,-611000000,None,None,None,1379000000,962000000,None,4294000000,4141000000,None
2019-10-31,USD,127991000000,123273000000,95900000000,32091000000,7729000000,3288000000,None,None,4373000000,6658000000,27373000000,244000000,4718000000,None,633000000,1052000000,44000000,-589000000,None,None,None,1052000000,244000000,None,3321000000,3288000000,None
2019-07-31,USD,130377000000,124794000000,97923000000,32454000000,8276000000,3610000000,None,None,4913000000,6804000000,26871000000,-85000000,5583000000,None,641000000,1233000000,56000000,-585000000,None,None,None,1233000000,-85000000,None,3680000000,3610000000,None
2019-04-30,USD,123925000000,25946000000,93034000000,30891000000,5782000000,3842000000,None,None,5157000000,64000000,25946000000,837000000,4945000000,None,625000000,1251000000,212000000,-625000000,None,None,None,1251000000,837000000,None,3906000000,3842000000,None
2019-01-31,USD,138793000000,27819000000,104907000000,33886000000,6269000000,3687000000,0,0,5664000000,126000000,27819000000,202000000,6067000000,0,605000000,1343000000,None,None,-508000000,0,0,1851000000,202000000,0,3813000000,3687000000,None
2018-10-31,USD,124894000000,26792000000,93116000000,31778000000,3110000000,1710000000,0,0,2576000000,107000000,26792000000,-1876000000,4986000000,0,534000000,None,None,None,0,0,0,759000000,-2570000000,0,1817000000,1710000000,None
2018-07-31,USD,128028000000,26707000000,95571000000,32457000000,901000000,-861000000,0,0,398000000,134000000,26707000000,-4849000000,5750000000,0,503000000,None,None,None,0,0,0,1125000000,-5352000000,0,-727000000,-861000000,None
2018-04-30,USD,122690000000,25829000000,91707000000,30983000000,3309000000,2134000000,0,0,2822000000,142000000,25829000000,-1845000000,5154000000,0,487000000,None,None,None,0,0,0,546000000,-2332000000,0,2276000000,2134000000,None
2018-01-31,USD,136267000000,29160000000,102640000000,33627000000,3463000000,2175000000,0,0,2964000000,188000000,29160000000,-1004000000,4467000000,0,499000000,None,None,None,0,0,0,601000000,-7126000000,0,2363000000,2175000000,None
2017-10-31,USD,123179000000,26868000000,91547000000,31632000000,3420000000,1749000000,0,0,2879000000,155000000,26868000000,-1344000000,4764000000,0,541000000,None,None,None,0,0,0,975000000,0,0,1904000000,1749000000,None
2017-07-31,USD,123355000000,25865000000,91521000000,31834000000,5181000000,2899000000,0,0,4606000000,205000000,25865000000,-788000000,5969000000,0,575000000,None,None,None,0,0,0,1502000000,0,0,3104000000,2899000000,None
2017-04-30,USD,117542000000,24617000000,87688000000,29854000000,5237000000,3039000000,0,0,4674000000,113000000,24617000000,None,5237000000,0,563000000,None,None,None,0,0,0,1522000000,0,0,3152000000,3039000000,None
2017-01-31,USD,130936000000,26988000000,97743000000,33193000000,6205000000,3757000000,0,0,5650000000,229000000,26988000000,None,6205000000,0,555000000,None,None,None,0,0,0,1664000000,-2267000000,0,3986000000,3757000000,None
2016-10-31,USD,118179000000,25576000000,87484000000,30695000000,5119000000,3034000000,0,0,4534000000,168000000,25576000000,None,5119000000,0,585000000,None,None,None,0,0,0,1332000000,0,0,3202000000,3034000000,None
2016-07-31,USD,120854000000,25204000000,89485000000,31369000000,6165000000,3773000000,0,0,5599000000,116000000,25204000000,None,6165000000,0,566000000,None,None,None,0,0,0,1710000000,0,0,3889000000,3773000000,None
2016-04-30,USD,115904000000,24085000000,86544000000,29360000000,5275000000,3079000000,0,0,4714000000,137000000,24085000000,None,5275000000,0,561000000,None,None,None,0,0,0,1498000000,0,0,3216000000,3079000000,None
2016-01-31,USD,129667000000,26026000000,96999000000,32668000000,6642000000,4574000000,0,0,6094000000,174000000,26026000000,None,6642000000,0,548000000,None,None,None,0,0,0,1346000000,-2467000000,0,4748000000,4574000000,None
2015-10-31,USD,117408000000,24248000000,87446000000,29962000000,5714000000,3304000000,0,0,5162000000,110000000,24248000000,None,5714000000,0,552000000,None,None,None,0,0,0,1748000000,0,0,3414000000,3304000000,None
