fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-10-31,1280000000,198000000,906000000,216000000,0.917,0.219,0.137,0.445,0.472
2022-07-31,1237000000,186000000,740000000,217000000,0.857,0.251,0.167,0.617,0.638
2022-04-30,1170000000,146000000,681000000,217000000,0.673,0.214,0.183,-0.064,-0.053
2022-01-31,1211600000,89100000,849000000,218200000,0.408,0.105,0.166,-0.902,-0.902
2021-10-31,1125800000,137000000,1280000000,220000000,0.623,0.107,0.182,0.036,0.034
2021-07-31,1059700000,115000000,1328000000,219800000,0.523,0.087,0.161,0.171,0.168
2021-04-30,989000000,156000000,1128000000,219600000,0.71,0.138,0.117,1.346,1.342
2021-01-31,1039200000,911300000,965000000,219600000,4.15,0.944,0.156,5.914,5.908
2020-10-31,952400000,132200000,69300000,219600000,0.602,1.908,0.13,0.982,0.983
2020-07-31,913100000,98200000,67300000,219200000,0.448,1.459,0.146,1.443,1.447
2020-04-30,885700000,66500000,798200000,219200000,0.303,0.083,,,
2020-01-31,899300000,131800000,1809100000,219400000,0.601,0.073,,,
2019-10-31,842700000,66700000,580900000,219700000,0.304,0.115,,,
2019-07-31,796800000,40200000,652300000,219600000,0.183,0.062,,,
2022-01-31,4386400000,497000000,849000000,218200000,2.278,0.585,0.157,-0.589,-0.586
2021-01-31,3790400000,1208200000,965000000,219600000,5.502,1.252,0.158,4.633,4.628
2020-01-31,3274300000,214500000,1809100000,219400000,0.978,0.119,0.274,3.655,3.655
2019-01-31,2569800000,-80800000,1517700000,219400000,-0.368,-0.053,,,
