fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-10-29,10587000000,277000000,2993000000,225200000,1.23,0.093,-0.111,-0.445,-0.399
2022-07-30,10329000000,306000000,2892000000,225100000,1.359,0.106,-0.128,-0.583,-0.542
2022-04-30,10647000000,341000000,2767000000,224600000,1.518,0.123,-0.085,-0.427,-0.361
2022-01-29,16365000000,626000000,3020000000,227400000,2.753,0.207,-0.034,-0.233,-0.133
2021-10-30,11910000000,499000000,4278000000,243800000,2.047,0.117,0.005,0.276,0.351
2021-07-31,11849000000,734000000,4335000000,247300000,2.968,0.169,0.196,0.699,0.773
2021-05-01,11637000000,595000000,4158000000,250400000,2.376,0.143,0.359,2.742,2.841
2021-01-30,16937000000,816000000,4587000000,257000000,3.175,0.178,0.115,0.095,0.093
2020-10-31,11853000000,391000000,4086000000,258000000,1.516,0.096,0.214,0.334,0.345
2020-08-01,9910000000,432000000,3778000000,258000000,1.674,0.114,0.039,0.815,0.864
2020-05-02,8562000000,159000000,3410000000,257000000,0.619,0.047,,,
2020-02-01,15196000000,745000000,3479000000,256494000,2.905,0.214,,,
2019-11-02,9764000000,293000000,3125000000,260000000,1.127,0.094,,,
2019-08-03,9536000000,238000000,3285000000,265000000,0.898,0.072,,,
2022-01-29,51761000000,2454000000,3020000000,227400000,10.792,0.813,0.095,0.365,0.543
2021-01-30,47262000000,1798000000,4587000000,257000000,6.996,0.392,0.083,0.167,0.164
2020-02-01,43638000000,1541000000,3479000000,256494000,6.008,0.443,0.018,0.053,0.09
2019-02-02,42879000000,1464000000,3306000000,265703000,5.51,0.443,,,
