fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-10-30,15536000000,2246000000,20262000000,300600000,7.472,0.111,0.372,0.751,0.801
2022-07-31,14102000000,1884000000,19033000000,304100000,6.195,0.099,0.223,0.13,0.156
2022-05-01,13370000000,2098000000,18904000000,306200000,6.852,0.111,0.109,0.172,0.197
2022-01-30,9569000000,903000000,17804000000,307400000,2.938,0.051,0.05,-0.262,-0.248
2021-10-31,11327000000,1283000000,18431000000,309200000,4.149,0.07,0.164,0.695,0.722
2021-08-01,11527000000,1667000000,15731000000,311000000,5.36,0.106,0.292,1.055,1.069
2021-05-02,12058000000,1790000000,15092000000,312800000,5.723,0.119,0.303,1.688,1.691
2021-01-31,9112000000,1224000000,14083000000,313500000,3.904,0.087,0.194,1.368,1.368
2020-11-01,9731000000,757000000,12937000000,314100000,2.41,0.059,-0.017,0.05,0.05
2020-08-02,8925000000,811000000,12888000000,313000000,2.591,0.063,-0.111,-0.098,-0.09
2020-05-03,9253000000,666000000,11864000000,313200000,2.126,0.056,,,
2020-02-02,7631000000,517000000,11926000000,313500000,1.649,0.043,,,
2019-11-03,9896000000,721000000,11413000000,314100000,2.295,0.063,,,
2019-07-28,10036000000,899000000,12266000000,315900000,2.846,0.073,,,
2022-10-30,52577000000,7131000000,20262000000,300600000,23.723,0.352,0.194,0.196,0.23
2021-10-31,44024000000,5963000000,18431000000,309200000,19.285,0.324,0.239,1.168,1.202
2020-11-01,35540000000,2751000000,12937000000,314100000,8.758,0.213,-0.095,-0.154,-0.154
2019-11-03,39258000000,3253000000,11413000000,314100000,10.357,0.285,,,
