fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,7347000000,1422000000,50345000000,770000000,1.847,0.028,0.153,0.012,0.011
2022-06-30,6078000000,907000000,49720000000,770000000,1.178,0.018,0.172,0.186,0.184
2022-03-31,6545000000,857000000,49446000000,770000000,1.113,0.017,0.166,-0.136,-0.137
2021-12-31,5646000000,746000000,49296000000,769000000,0.97,0.015,0.077,12.841,12.841
2021-09-30,6370000000,1405000000,49307000000,769000000,1.827,0.028,0.028,0.077,0.031
2021-06-30,5186000000,765000000,48132000000,769000000,0.995,0.016,0.066,1.954,1.912
2021-03-31,5615000000,992000000,48186000000,769000000,1.29,0.021,0.07,0.058,0.011
2020-12-31,5242000000,-63000000,47964000000,769000000,-0.082,-0.001,-0.014,-1.093,-1.089
2020-09-30,6199000000,1304000000,46006000000,736000000,1.772,0.028,-0.003,-0.028,-0.038
2020-06-30,4867000000,-802000000,45484000000,735000000,-1.091,-0.018,-0.056,-1.964,-1.955
2020-03-31,5249000000,938000000,46921000000,735000000,1.276,0.02,,,
2019-12-31,5316000000,674000000,46822000000,733000000,0.92,0.014,,,
2019-09-30,6220000000,1342000000,46438000000,729000000,1.841,0.029,,,
2019-06-30,5153000000,832000000,45213000000,728000000,1.143,0.018,,,
2021-12-31,22817000000,3908000000,49296000000,769000000,5.082,0.079,0.051,1.838,1.838
2020-12-31,21706000000,1377000000,47964000000,769000000,1.791,0.029,-0.02,-0.633,-0.65
2019-12-31,22144000000,3748000000,46822000000,733000000,5.113,0.08,0.022,0.406,0.394
2018-12-31,21663000000,2666000000,43817000000,727000000,3.667,0.061,,,
