fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,4362146000,414209000,3482180000,159128000,2.603,0.119,0.01,0.154,0.228
2022-06-30,4603312000,377805000,3525248000,162931000,2.319,0.107,0.275,0.194,0.24
2022-03-31,4664298000,346109000,3843392000,167477000,2.067,0.09,0.389,0.205,0.215
2021-12-31,5384537000,452832000,3494426000,167210000,2.708,0.13,0.699,1.28,1.308
2021-09-30,4319261000,359068000,3417358000,169392000,2.12,0.105,0.752,0.877,0.875
2021-06-30,3609093000,316372000,3079454000,169169000,1.87,0.103,0.399,0.721,0.697
2021-03-31,3357540000,287220000,2874794000,168808000,1.701,0.1,0.765,1.348,1.311
2020-12-31,3169188000,198620000,2659637000,169294000,1.173,0.075,0.55,0.446,0.449
2020-09-30,2464797000,191307000,2502029000,169231000,1.13,0.076,0.188,0.194,0.201
2020-06-30,2580632000,183869000,2159118000,166816000,1.102,0.085,0.268,0.201,0.224
2020-03-31,1901864000,122344000,2034806000,166193000,0.736,0.06,,,
2019-12-31,2044941000,137326000,2195028000,169622000,0.81,0.063,,,
2019-09-30,2074855000,160221000,2207385000,170243000,0.941,0.073,,,
2019-06-30,2035579000,153149000,2050973000,170040000,0.901,0.075,,,
2021-12-31,16511711000,1415492000,3494426000,167210000,8.465,0.405,0.636,1.033,1.059
2020-12-31,10091083000,696140000,2659637000,169294000,4.112,0.262,0.236,0.179,0.181
2019-12-31,8166175000,590395000,2195028000,169622000,3.481,0.269,0.004,-0.045,-0.034
2018-12-31,8136512000,618199000,1986838000,171582000,3.603,0.311,,,
