fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,23740000000,4458000000,74599000000,2627900000,1.696,0.06,0.018,0.216,0.218
2022-06-30,23982000000,4814000000,76357000000,2629600000,1.831,0.063,0.031,-0.233,-0.232
2022-03-31,23426000000,5149000000,74709000000,2629200000,1.958,0.069,0.052,-0.169,-0.168
2021-12-31,24804000000,4736000000,74023000000,2631800000,1.8,0.064,0.118,1.725,1.725
2021-09-30,23318000000,3667000000,70272000000,2632600000,1.393,0.052,0.108,0.032,0.032
2021-06-30,23272000000,6278000000,69580000000,2632500000,2.385,0.09,0.272,0.731,0.732
2021-03-31,22258000000,6197000000,65834000000,2631600000,2.355,0.094,0.077,0.069,0.07
2020-12-31,22179000000,1738000000,63278000000,2632200000,0.66,0.027,0.069,-0.567,-0.567
2020-09-30,21038000000,3554000000,64473000000,2632500000,1.35,0.055,0.017,1.027,1.029
2020-06-30,18291000000,3626000000,62978000000,2632900000,1.377,0.058,-0.107,-0.353,-0.348
2020-03-31,20666000000,5796000000,61294000000,2633700000,2.201,0.095,,,
2019-12-31,20747000000,4010000000,59471000000,2631900000,1.524,0.067,,,
2019-09-30,20681000000,1753000000,58210000000,2635200000,0.665,0.03,,,
2019-06-30,20479000000,5607000000,60785000000,2652500000,2.114,0.092,,,
2021-12-31,93775000000,20878000000,74023000000,2631800000,7.933,0.282,0.141,0.419,0.419
2020-12-31,82174000000,14714000000,63278000000,2632200000,5.59,0.233,0.009,-0.027,-0.027
2019-12-31,81474000000,15119000000,59471000000,2631900000,5.745,0.254,0.014,-0.012,0.006
2018-12-31,80311000000,15297000000,59752000000,2678200000,5.712,0.256,,,
