fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,1236000000,303000000,2255000000,183200000,1.654,0.134,-0.164,-0.361,-0.351
2022-06-30,1311000000,327000000,2294000000,184100000,1.776,0.143,-0.135,-0.433,-0.425
2022-03-31,1476000000,498000000,2394000000,185100000,2.69,0.208,-0.053,-0.323,-0.316
2021-12-31,1509000000,427000000,2727000000,185800000,2.298,0.157,0.212,0.36,0.373
2021-09-30,1479000000,474000000,2430000000,186000000,2.548,0.195,0.123,0.015,0.025
2021-06-30,1515000000,577000000,2186000000,186700000,3.091,0.264,0.098,0.134,0.14
2021-03-31,1558000000,736000000,2030000000,187200000,3.932,0.363,0.233,0.508,0.511
2020-12-31,1245000000,314000000,1569000000,187600000,1.674,0.2,0.01,-0.125,-0.122
2020-09-30,1317000000,467000000,1497000000,187800000,2.487,0.312,0.093,0.229,0.237
2020-06-30,1380000000,509000000,1041000000,187700000,2.712,0.489,0.188,0.642,0.657
2020-03-31,1264000000,488000000,582000000,187500000,2.603,0.838,,,
2019-12-31,1233000000,359000000,612000000,188400000,1.906,0.587,,,
2019-09-30,1204500000,380000000,472600000,189000000,2.011,0.804,,,
2019-06-30,1162100000,310000000,352800000,189400000,1.637,0.879,,,
2021-12-31,6061000000,2214000000,2727000000,185800000,11.916,0.812,0.17,0.245,0.257
2020-12-31,5182000000,1778000000,1569000000,187600000,9.478,1.133,0.121,0.25,0.256
2019-12-31,4624000000,1422000000,612000000,188400000,7.548,2.324,0.092,0.085,0.102
2018-12-31,4232500000,1310000000,459000000,191300000,6.848,2.854,,,
