fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,2793000000,608000000,37167000000,325800000,1.866,0.016,0.356,-0.237,-0.436
2022-06-30,3458000000,972000000,39433000000,336200000,2.891,0.025,0.667,0.218,-0.127
2022-03-31,3660000000,1235000000,39702000000,339900000,3.633,0.031,0.842,0.636,0.159
2021-12-31,2070000000,675000000,2032000000,241000000,2.801,0.332,0.109,0.487,0.484
2021-09-30,2059000000,797000000,1845000000,241000000,3.307,0.432,0.337,0.752,0.749
2021-06-30,2075000000,798000000,1265000000,241000000,3.311,0.631,0.089,0.008,0.008
2021-03-31,1987000000,755000000,1032000000,240900000,3.134,0.732,0.127,0.182,0.182
2020-12-31,1867000000,454000000,509000000,240600000,1.887,0.892,0.076,-0.161,-0.149
2020-09-30,1540000000,455000000,442000000,240600000,1.891,1.029,-0.099,-0.263,-0.251
2020-06-30,1905000000,792000000,210000000,241000000,3.286,3.771,0.14,0.427,0.458
2020-03-31,1763000000,639000000,2074000000,240900000,2.653,0.308,,,
2019-12-31,1735000000,541000000,479000000,244000000,2.217,1.129,,,
2019-09-30,1710000000,617000000,346000000,244400000,2.525,1.783,,,
2019-06-30,1671000000,555000000,512000000,246300000,2.253,1.084,,,
2021-12-31,8191000000,3024000000,2032000000,241000000,12.548,1.488,0.163,0.293,0.291
2020-12-31,7044000000,2339000000,509000000,240600000,9.722,4.595,0.072,0.102,0.117
2019-12-31,6568000000,2123000000,479000000,244000000,8.701,4.432,0.07,0.084,0.104
2018-12-31,6141000000,1958000000,628000000,248400000,7.882,3.118,,,
