fiscalDateEnding,totalRevenue,netIncome,totalShareholderEquity,commonStockSharesOutstanding,eps,roe,totalRevenuePercentChange,netIncomePercentChange,epsPercentChange
2022-09-30,4310600000,547900000,5858300000,231900000,2.363,0.094,0.178,0.351,0.387
2022-06-30,4130500000,509300000,5723500000,233800000,2.178,0.089,0.096,0.096,0.125
2022-03-31,3295900000,260200000,5998600000,234600000,1.109,0.043,0.116,0.106,0.129
2021-12-31,3511500000,317800000,6255900000,237200000,1.34,0.051,0.127,0.299,0.316
2021-09-30,3659900000,405700000,6475100000,238200000,1.703,0.063,0.067,0.013,0.022
2021-06-30,3767400000,464700000,6457300000,239900000,1.937,0.072,0.225,0.946,0.947
2021-03-31,2953200000,235200000,6296700000,239400000,0.982,0.037,0.147,9.055,9.058
2020-12-31,3115700000,244700000,6407700000,240400000,1.018,0.038,-0.237,-0.174,-0.175
2020-09-30,3430600000,400600000,6366700000,240400000,1.666,0.063,-0.198,-0.127,-0.122
2020-06-30,3075700000,238800000,5936900000,240000000,0.995,0.04,-0.311,-0.476,-0.472
2020-03-31,2574000000,-29200000,5772600000,239500000,-0.122,-0.005,,,
2019-12-31,4084100000,296100000,7267600000,240100000,1.233,0.041,,,
2019-09-30,4275100000,458800000,7237600000,241700000,1.898,0.063,,,
2019-06-30,4463700000,456100000,7130500000,242100000,1.884,0.064,,,
2021-12-31,13892000000,1423400000,6255900000,237200000,6.001,0.228,0.139,0.665,0.687
2020-12-31,12196000000,854900000,6407700000,240400000,3.556,0.133,-0.254,-0.394,-0.395
2019-12-31,16343600000,1410900000,7267600000,240100000,5.876,0.194,0.033,0.055,0.074
2018-12-31,15827700000,1337600000,7022700000,244500000,5.471,0.19,,,
