fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,428362000000,131463000000,34947000000,58662000000,36647000000,36154000000,119711000000,177195000000,None,20168000000,None,20168000000,65881000000,None,23715000000,36154000000,37503000000,290873000000,140363000000,67760000000,15329000000,10383000000,1100000000,153210000000,11595000000,63541000000,4247000000,58919000000,64641000000,59974000000,22259000000,137489000000,7837000000,82915000000,107000000,10198000000
2022-06-30,USD,419728000000,133667000000,37478000000,60710000000,38153000000,34804000000,112370000000,173706000000,None,20195000000,None,20195000000,69363000000,None,23232000000,207000000,33730000000,288326000000,140291000000,71219000000,15418000000,11025000000,235000000,150635000000,12625000000,63435000000,4998000000,58053000000,63670000000,56254000000,23458000000,131402000000,7837000000,80043000000,107000000,10183000000
2022-03-31,USD,410767000000,133876000000,36393000000,66385000000,34987000000,32504000000,108438000000,168468000000,None,20229000000,None,20229000000,77110000000,None,29992000000,191000000,32033000000,276766000000,139508000000,68547000000,15320000000,9523000000,None,139758000000,14085000000,50553000000,2681000000,47556000000,50553000000,58141000000,23971000000,134001000000,4503000000,82071000000,5000000,509000000
2021-12-31,USD,420549000000,161580000000,36220000000,96049000000,32640000000,32891000000,103810000000,160281000000,None,20478000000,5107000000,15371000000,127810000000,None,59829000000,242000000,27235000000,282304000000,142266000000,78664000000,28027000000,9574000000,318000000,142238000000,15670000000,50553000000,1491000000,48744000000,50871000000,51775000000,23643000000,138245000000,1837000000,85915000000,106000000,509000000
2021-09-30,USD,382406000000,138531000000,29944000000,78988000000,30933000000,28610000000,96738000000,147152000000,None,15345000000,None,15345000000,116191000000,None,49044000000,218000000,29227000000,261842000000,123994000000,71474000000,12974000000,9712000000,None,139848000000,15807000000,51376000000,1000000000,50055000000,51376000000,41546000000,23945000000,120564000000,1837000000,71592000000,5000000,507000000
2021-06-30,USD,360319000000,140848000000,40380000000,89894000000,24119000000,26835000000,85991000000,133502000000,None,15350000000,None,15350000000,127527000000,None,49514000000,265000000,27273000000,245516000000,117792000000,66090000000,12595000000,10600000000,None,129624000000,16228000000,51762000000,1158000000,50279000000,51762000000,41007000000,21148000000,114803000000,1837000000,68436000000,5000000,506000000
2021-03-31,USD,323077000000,121408000000,33834000000,73270000000,23849000000,24289000000,149530000000,52161000000,None,15220000000,None,15220000000,102276000000,None,39436000000,299000000,25660000000,219757000000,115404000000,63926000000,12439000000,11018000000,None,106253000000,16930000000,33227000000,1156000000,31868000000,33227000000,40939000000,19418000000,103320000000,1837000000,60658000000,5000000,504000000
2020-12-31,USD,321195000000,132733000000,42122000000,84396000000,23795000000,24542000000,148451000000,45014000000,None,19998000000,4981000000,15017000000,116207000000,None,42274000000,233000000,22778000000,227791000000,126385000000,72539000000,23208000000,11529000000,59000000,103306000000,18060000000,33174000000,1155000000,31816000000,33174000000,44138000000,17017000000,93404000000,1837000000,52551000000,5000000,503000000
2020-09-30,USD,282179000000,112969000000,29930000000,68402000000,23735000000,20832000000,234143000000,99981000000,None,14960000000,None,14960000000,97030000000,None,38472000000,239000000,20150000000,199404000000,101912000000,58334000000,11151000000,10415000000,None,99392000000,17490000000,33288000000,155000000,32929000000,33288000000,34327000000,15974000000,82775000000,1837000000,45329000000,5000000,502000000
2020-06-30,USD,258314000000,110908000000,37466000000,71391000000,19599000000,19918000000,208228000000,86517000000,None,14751000000,None,14751000000,96006000000,None,33925000000,354000000,17601000000,184586000000,93896000000,51036000000,8997000000,11215000000,None,90690000000,16729000000,34486000000,1154000000,33128000000,34486000000,33863000000,14764000000,73728000000,1837000000,38998000000,5000000,501000000
2020-03-31,USD,221238000000,85985000000,27201000000,49292000000,18857000000,17836000000,193275000000,77779000000,None,14739000000,None,14739000000,63151000000,None,22091000000,282000000,16456000000,155966000000,79711000000,40056000000,10664000000,14414000000,None,78055000000,16495000000,24849000000,1311000000,23437000000,24849000000,30791000000,12518000000,65272000000,1837000000,33755000000,5000000,499000000
2019-12-31,USD,225248000000,96334000000,36092000000,55021000000,20497000000,20816000000,190405000000,72705000000,46975000000,18803000000,4049000000,14754000000,64288000000,2169000000,18929000000,276000000,16314000000,163188000000,87812000000,47183000000,20390000000,14330000000,1307000000,77376000000,17095000000,24820000000,1305000000,23414000000,24820000000,32439000000,12171000000,62060000000,1837000000,31220000000,5000000,498000000
2019-09-30,USD,199099000000,79054000000,23255000000,43401000000,18766000000,16887000000,173787000000,67662000000,None,14734000000,None,14734000000,54719000000,1420000000,20146000000,257000000,14535000000,142591000000,72136000000,35794000000,8981000000,15061000000,2841000000,72055000000,15996000000,25411000000,2841000000,22472000000,25411000000,28961000000,10925000000,56508000000,1837000000,27952000000,5000000,495000000
2019-06-30,USD,191351000000,76790000000,22616000000,41463000000,18580000000,16747000000,164892000000,64723000000,None,14727000000,None,14727000000,51831000000,1501000000,18847000000,418000000,13462000000,138290000000,69678000000,36063000000,9075000000,13151000000,1636000000,70212000000,15350000000,25066000000,1636000000,23329000000,25066000000,26140000000,10149000000,53061000000,1837000000,25818000000,5000000,494000000
