fiscalDateEnding,reportedCurrency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
2022-09-30,USD,19971000000,10983000000,4850000000,4850000000,2306000000,3606000000,8988000000,3157000000,None,3080000000,806000000,2274000000,1802000000,1787000000,None,457000000,573000000,11590000000,4129000000,2775000000,None,32000000,16000000,7461000000,421000000,6336000000,16000000,6336000000,6352000000,1338000000,401000000,8195000000,None,5375000000,3000000,270932774
2022-06-30,USD,19908000000,10558000000,4670000000,4670000000,2362000000,3304000000,9350000000,3211000000,None,3268000000,876000000,2392000000,1879000000,1884000000,None,498000000,594000000,11626000000,4019000000,2749000000,None,34000000,17000000,7607000000,430000000,6433000000,17000000,6433000000,6450000000,1253000000,419000000,8099000000,None,5089000000,3000000,270932774
2022-03-31,USD,20404000000,10774000000,4877000000,4877000000,2312000000,3313000000,9630000000,3288000000,None,3403000000,924000000,2479000000,2012000000,1987000000,None,531000000,606000000,11804000000,4146000000,2910000000,None,70000000,35000000,7658000000,399000000,6503000000,35000000,6503000000,6538000000,1201000000,415000000,8396000000,None,5150000000,3000000,270915292
2021-12-31,USD,18007000000,8436000000,3139000000,3205000000,2014000000,3032000000,9571000000,3294000000,3719000000,3475000000,964000000,2511000000,1838000000,1797000000,66000000,499000000,622000000,9446000000,4207000000,2953000000,83000000,16000000,8000000,5239000000,10000000,4059000000,5000000,4059000000,4067000000,1246000000,436000000,8347000000,None,5077000000,3000000,270514140
2021-09-30,USD,17651000000,8104000000,2741000000,2824000000,2119000000,2954000000,9547000000,3193000000,None,3477000000,973000000,2504000000,1881000000,1852000000,83000000,477000000,644000000,9152000000,3834000000,2544000000,None,16000000,8000000,5318000000,396000000,4000000000,8000000,4000000000,4008000000,1282000000,524000000,8294000000,None,5062000000,3000000,270507574
2021-06-30,USD,17780000000,8055000000,2978000000,2926000000,1801000000,2928000000,9725000000,3193000000,None,3568000000,1021000000,2547000000,1984000000,1908000000,1908000000,622000000,678000000,9255000000,3905000000,2574000000,None,32000000,16000000,5350000000,394000000,4031000000,16000000,4031000000,4047000000,1315000000,521000000,8322000000,None,4976000000,3000000,270507574
2021-03-31,USD,17476000000,7801000000,2830000000,2830000000,1525000000,3048000000,9675000000,3164000000,None,3536000000,1033000000,2503000000,2031000000,1962000000,None,596000000,654000000,9200000000,3962000000,2624000000,None,156000000,78000000,5238000000,374000000,3946000000,78000000,3946000000,4024000000,1260000000,512000000,8077000000,None,4829000000,3000000,270462749
2020-12-31,USD,17522000000,7465000000,2821000000,2821000000,1297000000,3016000000,10057000000,3301000000,3310000000,3671000000,1091000000,2580000000,2081000000,2011000000,0,503000000,694000000,9422000000,4046000000,2571000000,62000000,180000000,90000000,5376000000,14000000,4011000000,86000000,4011000000,4101000000,1385000000,540000000,7905000000,None,4550000000,3000000,270025375
2020-09-30,USD,16444000000,6589000000,2122000000,2122000000,1229000000,2920000000,9855000000,3223000000,12000000,3574000000,1095000000,2479000000,2065000000,2047000000,0,586000000,636000000,8890000000,3579000000,2186000000,None,198000000,99000000,5311000000,15000000,3935000000,95000000,3935000000,4034000000,1294000000,598000000,7363000000,None,4267000000,3000000,270025374
2020-06-30,USD,15280000000,5412000000,1885000000,1885000000,1212000000,2091000000,9868000000,3196000000,11000000,3505000000,1104000000,2401000000,2077000000,2073000000,None,449000000,717000000,8154000000,2859000000,1432000000,None,400000000,200000000,5295000000,16000000,3946000000,196000000,3946000000,4146000000,1227000000,588000000,6942000000,None,3984000000,3000000,270025374
2020-03-31,USD,16167000000,6190000000,2055000000,2055000000,1363000000,2567000000,9977000000,3249000000,10000000,3521000000,1132000000,2389000000,2090000000,2090000000,None,432000000,724000000,11014000000,3655000000,2243000000,None,520000000,260000000,7359000000,17000000,5964000000,256000000,5964000000,6224000000,1152000000,621000000,4971000000,None,4353000000,3000000,254853978
2019-12-31,USD,13459000000,5319000000,412000000,412000000,1286000000,2829000000,8140000000,3309000000,2608000000,3593000000,1186000000,2407000000,144000000,106000000,None,504000000,719000000,9448000000,4054000000,2463000000,None,786000000,393000000,5394000000,18000000,3971000000,389000000,3971000000,4364000000,1155000000,611000000,3819000000,None,2890000000,3000000,255288240
2019-09-30,USD,12939000000,5385000000,341000000,341000000,1345000000,2935000000,7554000000,3145000000,8000000,3264000000,1128000000,2136000000,123000000,105000000,None,497000000,629000000,9158000000,3875000000,2232000000,None,888000000,444000000,5283000000,19000000,3939000000,440000000,3939000000,4383000000,1167000000,593000000,3565000000,None,2745000000,3000000,255654873
2019-06-30,USD,13108000000,4854000000,365000000,365000000,1304000000,2982000000,8254000000,3248000000,5000000,3822000000,1305000000,2517000000,121000000,103000000,None,490000000,648000000,9376000000,3991000000,2284000000,None,1034000000,517000000,5385000000,15000000,3997000000,515000000,3997000000,4514000000,1190000000,599000000,3519000000,None,2597000000,3000000,257840184
2019-03-31,USD,13019000000,4819000000,321000000,321000000,1326000000,3008000000,8200000000,3218000000,5000000,3837000000,1334000000,2503000000,111000000,102000000,None,435000000,609000000,9384000000,4014000000,2340000000,None,1084000000,542000000,5370000000,16000000,3995000000,540000000,3995000000,4537000000,1132000000,585000000,3418000000,None,2491000000,3000000,257840184
2018-12-31,USD,12480000000,4777000000,567000000,567000000,1277000000,2788000000,7703000000,3179000000,2164000000,3904000000,1380000000,2524000000,80000000,72000000,1000000,445000000,521000000,8810000000,3694000000,2334000000,None,612000000,306000000,5116000000,None,4038000000,306000000,4038000000,4344000000,1054000000,633000000,3459000000,None,2511000000,3000000,259991022
